"Date","Average_Temperature","Minimum_Temperature","Maximum_Temperature","Precipitation","Wind_Direction","Wind_Speed","Air_Pressure"
"2022-01-01",21.2,16.8,25.6,3.8,81,14.9,1018.8
"2022-01-02",21.2,15.5,25.6,0,87,15.8,1017.9
"2022-01-03",20.2,16.2,27,0,87,10,1017.3
"2022-01-04",20.1,15,26.8,0,76,8.5,1017
"2022-01-05",20.3,14,26,0,77,6.9,1017.2
"2022-01-06",20.9,15,27,0,87,9.8,1016.2
"2022-01-07",21.4,16.4,27.5,0,104,10,1016.3
"2022-01-08",22.1,16.9,27.5,0,114,9.4,1016.8
"2022-01-09",21.7,17,26.8,0,109,9.8,1015.6
"2022-01-10",21.9,15.9,28.5,0,99,6.7,1015
"2022-01-11",22.1,17.4,29,0,118,8.9,1014.8
"2022-01-12",22.6,17.8,28.1,0,160,7.7,1013.8
"2022-01-13",22.2,18.2,28,0,277,7.3,1014.4
"2022-01-14",22.3,17,28,0,1,6.4,1014.4
"2022-01-15",23.1,17.6,29,0,28,6.4,1014.9
"2022-01-16",22.1,19,26,0,74,10.4,1016.4
"2022-01-17",21.7,18,27,0,73,13.3,1018.2
"2022-01-18",21.2,16,27,0,68,9.8,1017.4
"2022-01-19",21.3,16.6,28,0,46,7.1,1016
"2022-01-20",21.9,15,30,0,17,5.3,1014.5
"2022-01-21",22.7,15.7,31,0,332,6.6,1014.1
"2022-01-22",22.3,15.8,31,0,287,6.5,1013
"2022-01-23",22.8,16.4,30,0,287,8.2,1012.7
"2022-01-24",22.3,16,29,0,305,5.6,1012.5
"2022-01-25",22,16.6,28,0,62,6,1012.4
"2022-01-26",22.9,16.2,28.6,0,126,7.8,1013.4
"2022-01-27",21.9,17.9,28,0,93,10.8,1014.1
"2022-01-28",21.2,17,26.2,0,76,13.8,1015.6
"2022-01-29",21.3,15.9,26.3,0,78,12.5,1016.8
"2022-01-30",22.9,16,29,0,85,8.3,1016
"2022-01-31",23.6,17.9,30,0,80,6.2,1014.7
"2022-02-01",23.1,17.8,30.5,0,74,7.8,1014.4
"2022-02-02",22.7,16,30.2,0,85,5.5,1015
"2022-02-03",23.2,16.6,30.9,0,206,7,1014.7
"2022-02-04",23.1,15.8,29.5,0,275,8.6,1013.4
"2022-02-05",22.9,15.8,31.5,0,90,7.4,1013.9
"2022-02-06",22.7,17.9,29.9,0,95,9,1016.3
"2022-02-07",22.8,16.5,29,0,76,9.1,1016.8
"2022-02-08",22.2,15.4,29.5,0,84,7.8,1016
"2022-02-09",21.8,14.2,29.3,0,89,13,1015.6
"2022-02-10",21.4,13.4,29,0,67,10.8,1015.4
"2022-02-11",22.6,14.6,29.4,0,60,14.5,1015.2
"2022-02-12",21.9,15,29.5,0,76,12.4,1014.8
"2022-02-13",22.4,17,29.2,0,78,9.4,1014.1
"2022-02-14",22.3,15.1,29.2,0,76,8.7,1013.8
"2022-02-15",22.4,16,29.4,0,84,10.1,1013.7
"2022-02-16",21.8,14.6,29,0,85,10.5,1012
"2022-02-17",22.6,16,29.5,0,88,10.6,1011.1
"2022-02-18",21.9,13.6,30,0,86,13.2,1012.8
"2022-02-19",22,13.7,29.7,0,81,11.8,1014.9
"2022-02-20",23.5,15.4,32,0,46,5.9,1014.4
"2022-02-21",24.6,16.4,31.7,0,357,5.5,1013.2
"2022-02-22",24.4,18.2,32,0,98,9.1,1014
"2022-02-23",23.2,16.6,31.4,0,91,13.6,1017
"2022-02-24",23.2,15,31.9,0,86,9.4,1016.5
"2022-02-25",24.5,17.3,31,0,67,9.4,1016.2
"2022-02-26",22.4,16,31.2,0,83,11.7,1017.2
"2022-02-27",22.2,14.6,30,0,80,10.1,1017.2
"2022-02-28",23.2,17,30.2,0,90,9.6,1016.8
