"Date","Average_Temperature","Minimum_Temperature","Maximum_Temperature","Precipitation","Wind_Direction","Wind_Speed","Air_Pressure"
"2022-01-01",18.1,14.2,23.5,0,343,7.4,1019.3
"2022-01-02",17.7,13.6,23.8,0,340,6.8,1017.7
"2022-01-03",17.5,12.9,23.6,0,342,5.6,1016.5
"2022-01-04",17.2,12.5,23.8,0,357,5.7,1017.1
"2022-01-05",17.7,12,24.5,0,345,5.5,1016.4
"2022-01-06",18,11.9,25.1,0,354,5.1,1015.9
"2022-01-07",19.1,13.9,25.8,0,2,5.4,1016.5
"2022-01-08",20.7,15.2,26.9,0,356,5,1016.3
"2022-01-09",20.6,14.3,27.2,0,11,4.5,1014.3
"2022-01-10",21.7,15.1,27.3,0,355,2.8,1015
"2022-01-11",21.6,17.4,27,3.2,359,5.8,1015.2
"2022-01-12",19.5,17.4,22.9,2.3,11,4.6,1015.1
"2022-01-13",20.5,17.7,24.6,0.5,350,5,1015.5
"2022-01-14",19.1,15.7,20.8,0.3,24,5.8,1016
"2022-01-15",19,14.6,24,0.5,358,6.9,1016
"2022-01-16",18,14.6,23.2,0,349,8,1017.8
"2022-01-17",16.6,11.2,22.6,0,343,6.5,1018.2
"2022-01-18",16.6,11.2,22.3,0,331,6.4,1015.8
"2022-01-19",16.7,11.8,22.5,0,328,6.1,1013.7
"2022-01-20",17.6,12.7,23.5,0,322,4.2,1011.8
"2022-01-21",19.3,12.8,25.1,0.1,104,2.9,1011.6
"2022-01-22",20.6,17.4,24.4,1,74,3.7,1010.1
"2022-01-23",19.2,16.8,22.6,0,104,6.1,1010.3
"2022-01-24",18.7,16.3,21,5.1,55,4.7,1010.8
"2022-01-25",20.7,15.6,25,0,347,4.5,1011.7
"2022-01-26",19.8,16.2,24.8,1.2,355,4.9,1012.7
"2022-01-27",18.3,14,23.2,0,348,6.3,1014.2
"2022-01-28",16.5,11,21.4,0,344,6.9,1016
"2022-01-29",16.3,10.5,21.9,0,344,6.9,1015.6
"2022-01-30",16.8,10.2,23.4,0,312,5.6,1012.9
"2022-01-31",19,12.3,26.1,0,207,5.4,1011.8
"2022-02-01",20.2,14.5,27.2,0,238,6,1010
"2022-02-02",22.5,17.4,28.5,0,326,3.7,1012
"2022-02-03",22.7,17.7,28.8,0.6,194,7.1,1011.7
"2022-02-04",20.5,17.2,26.8,10.4,190,10.6,1009.5
"2022-02-05",19,14.6,23.7,0,334,6.3,1012
"2022-02-06",18.2,13.2,23.6,0,342,5.6,1016
"2022-02-07",18.3,11.8,24.9,0,7,4.8,1015.3
"2022-02-08",20,14.5,26.2,0,9,3.8,1014.1
"2022-02-09",21,14.9,27.7,0,199,5.5,1014.5
