"Date","Average_Temperature","Minimum_Temperature","Maximum_Temperature","Precipitation","Wind_Direction","Wind_Speed","Air_Pressure"
"2022-01-01",26.6,22,32,0,24,8.3,1015.7
"2022-01-02",27,21.2,32.2,0,12,7.6,1014.2
"2022-01-03",27.2,22.2,33,0,1,6.7,1013.7
"2022-01-04",27.1,22,32,0,24,8,1013.7
"2022-01-05",26.5,22.2,31,0,343,4.9,1013.2
"2022-01-06",25.7,22,29.2,0,347,7.6,1012.9
"2022-01-07",25.5,21.6,29.4,0,160,8.6,1012.2
"2022-01-08",24.2,21.8,27.2,0,29,8.9,1013.2
"2022-01-09",22.4,19.2,26.2,4.1,349,11.4,1013.7
"2022-01-10",21.3,13.2,25,0,351,7.9,1013.8
"2022-01-11",21.8,16.8,26,0,351,7.6,1013.4
"2022-01-12",21.9,15.8,26.6,0,338,8.3,1013
"2022-01-13",22.6,17,27,0,350,7.1,1012
"2022-01-14",23.7,20,27.8,0,340,6.8,1012
"2022-01-15",24.5,20.2,30.8,0,11,8.5,1012.7
"2022-01-16",26.1,20,32.4,0,21,7.4,1013.2
"2022-01-17",26.8,23,31.6,0,49,9.6,1015
"2022-01-18",26.3,21,31,0,344,7.9,1014.7
"2022-01-19",25.4,18.8,30.4,0,336,6.4,1013.4
"2022-01-20",24.6,18.4,29.2,0,325,8.8,1011.6
"2022-01-21",24.4,19.6,28,0,341,6.3,1011.5
"2022-01-22",24.7,20.6,28.8,0,308,10.9,1010
"2022-01-23",22.7,20.6,25,0,333,13.2,1011.2
"2022-01-24",20.4,16.4,24.4,0,8,12.9,1012.4
"2022-01-25",21.2,14.2,27,0,2,6.1,1011.7
"2022-01-26",22.5,16,28.2,0,15,7.5,1011.7
"2022-01-27",24.1,18.2,31.4,0,19,7,1011.9
"2022-01-28",25.6,21.6,32,0,36,11.1,1013.1
"2022-01-29",25.6,19.2,31.6,0,31,9.2,1014
"2022-01-30",25.5,17,32,0,1,6.4,1012.7
"2022-01-31",24.7,18,31.4,0,337,5.3,1011.9
"2022-02-01",23.4,15,30,0,332,6.1,1011.1
"2022-02-02",23.8,18.6,29,0,318,7.2,1011.1
"2022-02-03",24,18.4,28,0,244,8.4,1011
"2022-02-04",24.3,19.4,27.8,0,315,9,1010.6
"2022-02-05",23.3,16.8,28.4,0,347,7.4,1011.2
"2022-02-06",24.4,17.8,31,0,337,8.4,1012.7
"2022-02-07",23.7,20.4,27.2,0,326,9.1,1014.1
"2022-02-08",23.5,19,27,0,329,9.2,1013.3
"2022-02-09",23.7,19,27.4,0,10,9.3,1012.9
"2022-02-10",25,18,31,0,359,7.3,1012.2
"2022-02-11",27.3,20.8,34.6,0,27,11.5,1011.8
"2022-02-12",26.4,20.8,32,0,2,8.1,1011.7
"2022-02-13",25.9,20,32,0,341,6.9,1010
"2022-02-14",26,19.8,32,0,359,7.4,1010.3
"2022-02-15",24.6,21,28,0,336,10.5,1010.6
"2022-02-16",23.7,19.4,28.1,0,324,10.1,1008.9
"2022-02-17",23.9,19.4,28.6,0,334,6.1,1007.6
"2022-02-18",25,19,30.4,0,322,5.3,1008.8
"2022-02-19",25.9,19.4,32,0,314,6.8,1010.9
"2022-02-20",26.1,19.4,31.4,0,336,9.5,1010.7
"2022-02-21",25.7,18.4,31.6,0,338,8,1009.8
"2022-02-22",25.5,18.6,32.2,0,340,9,1010.7
"2022-02-23",26.5,19.2,32,0,334,5.3,1011.9
"2022-02-24",27.2,21.2,32.2,0,330,7.7,1013.2
"2022-02-25",26.8,20.6,32,0,339,6.1,1012.6
"2022-02-26",27.2,20.2,32,0,336,7.4,1012.5
"2022-02-27",27.4,21,32.6,0,339,9,1012.9
"2022-02-28",27.2,20.2,33.2,0,326,8.3,1012.4
"2022-03-01",27.7,21.8,32.8,0,336,8.5,1012.5
"2022-03-02",28.7,22.4,33.6,0,343,8.4,1011.4
"2022-03-03",29.3,23.4,35,0,2,8.7,1011.2
"2022-03-04",29.8,22,36,0,353,8.9,1011.6
"2022-03-05",28.7,22,34,0,302,8.8,1010.8
"2022-03-06",29.4,23.4,37,0,346,6.3,1009.8
"2022-03-07",29,24.2,33,0,325,7,1009.9
"2022-03-08",30.5,26.8,35,0,7,9.1,1009.8
"2022-03-09",30.3,26,37.2,0,359,7.8,1009.7
"2022-03-10",30.6,25.4,36.6,0,358,7.9,1009.5
"2022-03-11",31,25.4,35.6,0,348,9.4,1009.1
"2022-03-12",30.6,26,36,0,14,10.6,1009
"2022-03-13",31.5,24,37.4,0,8,8.8,1009.3
"2022-03-14",32.2,23.6,39.2,0,346,8.8,1009.5
"2022-03-15",32.4,24.6,37.2,0,342,9.8,1008.2
"2022-03-16",32.1,24,38,0,331,9.7,1007
"2022-03-17",31.9,27.2,36.8,0,315,10.5,1006.2
"2022-03-18",31.2,25,37,0,340,9.6,1005.8
"2022-03-19",29.2,25.2,32.8,0,284,9.5,1006
"2022-03-20",28.2,25,31.2,0,266,9.2,1007
"2022-03-21",28.3,24.8,32,0,319,8.9,1007.6
"2022-03-22",30.1,25.8,33,0,332,8.4,1007.1
"2022-03-23",31.1,23.8,38,0,338,8.7,1006.3
"2022-03-24",30.3,27.4,34.6,0,275,8.2,1006.6
"2022-03-25",29,25,32.6,0,294,8.3,1008.1
"2022-03-26",29.2,27,32.4,0,270,9.8,1010.2
"2022-03-27",29,25.6,33,0,300,9.2,1010.6
"2022-03-28",29.4,26,33,0,293,9.9,1009.6
"2022-03-29",30.2,24.4,36,0,306,8.3,1008.5
"2022-03-30",29.5,24.4,34,0,298,8.1,1008.2
"2022-03-31",28.6,24.2,32,0,294,8.5,1009.1
"2022-04-01",28.2,22,33,0,311,8,1008.8
"2022-04-02",28.6,23.6,31.8,0,266,10.1,1010
"2022-04-03",29,25,32.8,0,297,11,1009.1
"2022-04-04",29.3,26.8,32.6,0,264,9.2,1009.4
"2022-04-05",29.8,28,33,0,239,10.3,1011
"2022-04-06",29.9,27.6,33,0,251,10.5,1011.4
"2022-04-07",29.6,26,33.6,0,273,9.7,1010
"2022-04-08",29.9,26.7,33.6,0,255,11,1008.5
"2022-04-09",30.3,27.6,34.5,0,212,12.1,1008.3
"2022-04-10",30.1,28,33.5,0,244,11,1008.3
"2022-04-11",30.1,27.2,34.2,0,287,9.1,1007.4
"2022-04-12",30.6,25,35,0,325,8.6,1006
"2022-04-13",31.3,25.7,35.6,0,321,8.9,1005.4
"2022-04-14",30.3,27.7,33.6,0,260,10,1006.5
"2022-04-15",30.2,27.5,33.2,0,261,9.9,1007.2
"2022-04-16",29.2,24,33.2,0,284,8.9,1006.3
"2022-04-17",29.6,24.6,33.8,0,254,11,1007.3
"2022-04-18",29.7,24,33.1,0,308,9.1,1009.2
"2022-04-19",29.6,25,32.8,0,325,10.6,1010.8
