date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,21.6,16,29,0,,46,7.5,,1019.7,
2023-01-02,20.9,16,28.2,0,,71,9.3,,1019.5,
2023-01-03,20.4,16,27.2,0,,79,8.8,,1019.7,
2023-01-04,20.5,16.6,26.4,0,,85,12,,1018.6,
2023-01-05,19.7,16,26.4,0,,81,14.4,,1019.2,
2023-01-06,20.4,15.6,26.4,0,,73,14.7,,1020,
2023-01-07,20.4,15.5,27,0,,75,12.2,,1019.9,
2023-01-08,19.9,16.9,26.4,0,,46,8.5,,1018.6,
2023-01-09,18.8,14,26.4,0,,77,7.9,,1019.5,
2023-01-10,19.4,13.8,26.6,0,,71,10.6,,1019.1,
2023-01-11,20,13,28,0,,67,7.1,,1017.5,
2023-01-12,19.9,13,29,0,,66,7.5,,1016.4,
2023-01-13,20.1,13,28.4,0,,56,6.3,,1016.4,
2023-01-14,20.4,14.4,28.4,0,,59,6.4,,1016.6,
2023-01-15,20.6,12,28.6,0,,53,6.1,,1015.8,
2023-01-16,20.5,14,29.4,0,,45,6,,1016.3,
2023-01-17,19.9,14,29.2,0,,99,9.5,,1016.7,
2023-01-18,19.9,14.3,28,0,,79,9.9,,1018.5,
2023-01-19,20.2,13.8,28,0,,78,9.8,,1018.6,
2023-01-20,19.6,14,27.4,0,,84,11.2,,1017.6,
2023-01-21,20.1,16.1,26.4,0,,83,10.8,,1017.4,
2023-01-22,19.9,15,26.4,0,,79,11.1,,1016.7,
2023-01-23,19.3,15.6,26.8,0,,83,11.1,,1016.2,
2023-01-24,21.1,18,26.4,0,,96,11.2,,1015.9,
2023-01-25,20.4,15.6,27.8,0,,96,11.8,,1015.8,
2023-01-26,20.6,15.9,28,0,,91,9.7,,1015.9,
2023-01-27,20.5,16.3,28.2,0,,85,10.2,,1016,
2023-01-28,20.1,15,26.6,0,,63,11,,1015.5,
2023-01-29,21.3,15,28,0,,62,11.5,,1014.5,
2023-01-30,21.9,17.4,28.4,0.5,,68,13.4,,1015.5,
2023-01-31,21.8,18.8,27,0,,49,10.7,,1015.4,
2023-02-01,21.7,16,28.2,0,,41,11.3,,1015.1,
2023-02-02,21.1,17.5,28.2,0,,49,11.6,,1015.5,
2023-02-03,22.4,18.4,28.2,0,,59,12,,1014.1,
2023-02-04,22.5,18.2,29,0,,64,10.8,,1014.7,
2023-02-05,23.1,17,29.6,0,,70,11.5,,1015.1,
2023-02-06,22.8,16,31,0,,65,7,,1015.2,
2023-02-07,23.3,16.8,29.4,0,,81,5.6,,1015.4,
2023-02-08,22.9,17,30.2,0,,74,8.8,,1015.5,
2023-02-09,22.5,17,30,0,,65,10.3,,1016.1,
2023-02-10,22.7,17,30.4,0,,45,8.6,,1016.9,
2023-02-11,22.1,15,31,0,,51,8.1,,1017.5,
2023-02-12,23.3,15,30.6,0,,56,10.3,,1017.7,
2023-02-13,22.7,16.5,29.6,0,,58,11.3,,1017.7,
2023-02-14,22.9,15,31,0,,68,8,,1017.2,
2023-02-15,22.7,15,30.8,0,,52,9.6,,1015.8,
2023-02-16,22.7,15,30.8,0,,62,12,,1015.9,
2023-02-17,22.5,16,31.2,0,,76,10.7,,1016.5,
2023-02-18,22.8,16.7,30.3,0,,66,8.6,,1016.6,
