date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,21.7,14.5,29.3,0,,96,11,,1018.2,
2024-01-02,21.8,17,28.6,0,,90,12.8,,1017.5,
2024-01-03,21.9,16.6,27.8,0,,95,13.4,,1016.6,
2024-01-04,22.1,17,29.3,0,,93,10.7,,1017,
2024-01-05,21.9,17,26.6,0,,103,13.6,,1017,
2024-01-06,22.1,16.6,29.3,0.2,,93,11.4,,1015.2,
2024-01-07,22.1,16.9,29.3,0,,97,9.3,,1013.3,
2024-01-08,20.8,17.9,29.3,8.8,,88,15.2,,1016.7,
2024-01-09,21.2,17.6,29.3,1,,81,16.8,,1018.5,
2024-01-10,21.9,15.8,29.3,0,,90,17.4,,1018.3,
2024-01-11,21.6,15.8,29.3,0,,86,14.7,,1018.5,
2024-01-12,21.8,14.2,29.3,0,,86,17.8,,1018.5,
2024-01-13,20.7,14.5,28.4,0,,92,10.6,,1019,
2024-01-14,22.4,15.5,29.3,0,,74,10,,1018.5,
2024-01-15,22,18,29.3,0,,79,8.1,,1017.9,
2024-01-16,21.9,15.6,29.4,0,,97,10.1,,1016.7,
2024-01-17,21.9,17,29.3,0,,111,7.8,,1015.3,
2024-01-18,21.8,15.5,29.3,0,,124,8.6,,1016.8,
2024-01-19,22.2,15.2,29.3,0,,99,9.7,,1017,
2024-01-20,22.3,15.4,29.5,0,,108,10.7,,1018.2,
2024-01-21,22.8,17.4,30.6,0,,101,8.8,,1018.4,
2024-01-22,23.5,16.6,30.6,0,,111,8.8,,1019.1,
2024-01-23,23,16,30,0,,105,8.5,,1018.7,
2024-01-24,22.8,15.6,30,0,,137,8.2,,1018.1,
2024-01-25,22.7,17.4,29.3,0,,114,8.8,,1019.1,
2024-01-26,21.7,15.5,29.6,0,,97,13.4,,1020.8,
2024-01-27,21.8,17.4,29.3,0,,88,15.1,,1021,
2024-01-28,21.6,15,28.5,0,,92,13.6,,1020.5,
2024-01-29,21.6,19,28.6,0,,86,13,,1019.8,
