date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,15.9,11.2,21,0,,34,7.8,,1020.8,
2022-01-02,16.5,11.4,23,0,,35,7.1,,1019.4,
2022-01-03,16.5,11,23,0,,23,6.5,,1018.4,
2022-01-04,17.6,9.8,26.4,0,,49,4.9,,1017.4,
2022-01-05,19.2,12.4,26,0,,124,9.2,,1015.6,
2022-01-06,19.4,15,27,14.9,,96,11.5,,1014.9,
2022-01-07,17.8,14.6,22,17,,79,9.4,,1015.7,
2022-01-08,19.4,15,24.4,14,,139,8,,1015,
2022-01-09,16.7,13.5,19,7.1,,297,10.2,,1014.6,
2022-01-10,13.7,8.6,19,0,,336,10.1,,1017.1,
2022-01-11,12.8,9,18,0,,14,9,,1017.5,
2022-01-12,13.4,8,20.4,0,,353,8,,1016.8,
2022-01-13,13.5,8.3,20,0,,25,8,,1016.5,
2022-01-14,13.7,9,19,0,,23,10.1,,1016.5,
2022-01-15,13.9,10,19.8,0,,25,10.8,,1018.1,
2022-01-16,12,8,20.2,0,,44,9.4,,1019.6,
2022-01-17,13.9,7,22,0,,22,6.8,,1019.9,
2022-01-18,14.6,8,22,0,,337,6.9,,1018.3,
2022-01-19,14.2,6,23,0,,8,5.5,,1016.2,
2022-01-20,17.4,10,25.8,0,,214,8.4,,1011.3,
2022-01-21,17.8,12,25.4,0,,268,7.7,,1011.3,
2022-01-22,18.4,14,24,0.8,,207,14.1,,1008.2,
2022-01-23,15.7,13,20.2,0,,255,10.3,,1010.1,
2022-01-24,13.2,9.2,18,0,,345,7.9,,1013.9,
2022-01-25,12.3,6,18.2,0,,356,7.8,,1015.1,
2022-01-26,12,6,18.4,0,,6,6.5,,1016.5,
2022-01-27,12.2,6,19.4,0,,359,8,,1017.6,
2022-01-28,12.8,6,20.6,0,,18,5.7,,1018.2,
2022-01-29,14.9,6,24.4,0,,88,6.3,,1017.8,
2022-01-30,17.3,8,28,0,,212,6.2,,1014.6,
2022-01-31,17.4,10,25.4,0,,274,8.4,,1012.9,
2022-02-01,18.2,10.6,28,0,,255,7.7,,1012.5,
2022-02-02,19.7,12,28.6,0,,204,7.1,,1012,
2022-02-03,20,15,27.8,0,,223,15.4,,1008.6,
2022-02-04,15.9,9,23.8,0,,275,7.8,,1011.2,
2022-02-05,16.2,8.6,25.4,0,,248,8.5,,1013.3,
2022-02-06,17.2,9.4,26.9,0,,67,7.7,,1015.8,
2022-02-07,19.3,11,28.6,0,,252,5.9,,1015.3,
2022-02-08,19.6,11,29,0,,265,7.2,,1013.5,
2022-02-09,19.6,13.3,27,0,,299,12,,1013.4,
2022-02-10,16.6,12,22.4,0,,4,11.8,,1017.2,
2022-02-11,15.2,8.6,22,0,,10,6.3,,1017.6,
2022-02-12,16.5,9,24.8,0,,4,5.5,,1016,
2022-02-13,17.7,8,26.4,0,,27,7.1,,1013.5,
