date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,24.9,21.3,29.2,0,,32,12.7,,1014.4,
2024-01-02,25,21.5,28.9,0,,35,12.9,,1013.6,
2024-01-03,25.5,22.3,28.6,0,,47,13.9,,1013.1,
2024-01-04,25.8,23.6,29.8,0,,57,13.5,,1012.9,
2024-01-05,26,23.7,28.8,0.3,,30,12.2,,1012.8,
2024-01-06,25.8,23.9,28.5,1.5,,32,16.7,,1013,
2024-01-07,24.9,23.2,26.7,21.6,,29,17.9,,1013.3,
2024-01-08,25.2,23.7,26.9,16.1,,55,15.8,,1013.9,
2024-01-09,26.3,24.5,29,0,,49,16.7,,1014.1,
2024-01-10,25.9,23.3,29.6,0,,45,14.3,,1013.9,
2024-01-11,25.4,22.8,29.4,0,,29,13.6,,1014.4,
2024-01-12,25.3,21.8,29.8,0,,33,11.3,,1014.2,
2024-01-13,25.2,22,29.8,0.6,,29,9.7,,1014.5,
2024-01-14,24.8,20.9,30.8,0,,52,7.4,,1013.9,
2024-01-15,24.5,20,30,0,,73,7.8,,1013.5,
2024-01-16,24.4,20,30,0,,99,6.8,,1012.5,
2024-01-17,23.9,19.2,30,0,,77,8.6,,1012.3,
2024-01-18,24.7,19.1,29.8,0,,61,8.8,,1012.6,
2024-01-19,25.3,20.8,30,0,,47,9.6,,1012.9,
2024-01-20,25.4,22,29.8,0,,55,10.3,,1014,
2024-01-21,25.3,21.9,30.2,0,,67,8.8,,1013.9,
2024-01-22,25.1,21.4,30.6,0,,96,8.8,,1014.9,
2024-01-23,25.4,21.2,29.8,0,,115,10.3,,1014.5,
2024-01-24,25.8,22.1,31,0,,152,12.7,,1013.9,
2024-01-25,25.3,20.6,30.7,0,,132,9.8,,1014.9,
2024-01-26,25.5,22.2,29.8,0.1,,59,10.5,,1016.6,
2024-01-27,26.1,22.4,30.6,0.1,,45,13.5,,1016.6,
2024-01-28,26,21.6,30.3,0.5,,58,13.4,,1016.4,
2024-01-29,25.1,21.3,29.1,0,,43,12.8,,1015.9,
2024-01-30,25.1,19.9,30.1,0,,32,11,,1014.9,
2024-01-31,25.9,21.2,30.8,0,,63,10.2,,1014.6,
2024-02-01,26.7,23.5,30.7,0.4,,107,9.6,,1014.5,
2024-02-02,26.7,22.9,30.8,0.3,,127,9.7,,1014.1,
2024-02-03,26.2,23.1,30.8,0,,86,9.2,,1014.9,
2024-02-04,26.2,23,31,0,,63,9.4,,1016.4,
2024-02-05,25.5,21.1,30.2,0,,44,8.9,,1016.6,
2024-02-06,25.6,20.9,30.5,0,,65,8.1,,1016,
2024-02-07,25.2,20.7,31,0,,30,7,,1015.6,
2024-02-08,25.7,21.1,32.2,0,,160,7,,1014.4,
2024-02-09,26.2,22.1,31.4,0,,94,8.3,,1015.2,
2024-02-10,27.2,24,31.8,0.2,,80,12.3,,1016.4,
2024-02-11,26.4,23,30.6,0,,65,13.8,,1017,
2024-02-12,25.8,21.7,30.8,0,,51,12.5,,1016.5,
2024-02-13,26.8,22.5,30.8,0,,49,13.2,,1015.8,
2024-02-14,26.9,23.3,31,0,,53,12.8,,1015,
2024-02-15,26.1,21.9,30.4,0,,39,10.8,,1015.1,
2024-02-16,26.5,22.4,31.2,0,,39,11.6,,1015.3,
2024-02-17,26.3,21.9,31.4,0,,36,10.5,,1014.1,
2024-02-18,25.6,20.6,31.1,0,,67,8.2,,1013.3,
2024-02-19,26.6,21,31.9,0,,130,11.1,,1013.6,
2024-02-20,26.8,21.7,31.9,0,,142,11,,1013.1,
2024-02-21,27.2,22,32.9,0,,178,14.2,,1011.8,
2024-02-22,27.6,23.4,32.2,0.2,,179,16.8,,1011.7,
2024-02-23,28.5,24.9,33.3,0,,170,18.8,,1011.1,
2024-02-24,28.1,25.2,31.6,0,,148,16,,1011.7,
2024-02-25,27.7,24.6,31.2,0,,116,12.7,,1011.8,
2024-02-26,27.6,24.4,32,0,,88,15.7,,1012.8,
2024-02-27,27.5,23.9,31.4,0,,60,13,,1013.2,
2024-02-28,26.8,22.6,32.4,0,,33,10.3,,1012.5,
2024-02-29,26.7,21.5,32.2,0,,28,9,,1012.9,
2024-03-01,27.2,22.4,32.5,0,,50,7.3,,1013.7,
2024-03-02,27.1,22.4,32.5,0,,145,8.8,,1013,
2024-03-03,27.3,23.2,32.3,0,,132,12.5,,1012.2,
2024-03-04,26.5,22,31.5,0,,140,11,,1012.1,
2024-03-05,26.7,22.1,31.5,0,,150,9.1,,1012.1,
2024-03-06,27.3,22.5,33.3,0,,151,10.8,,1012.1,
2024-03-07,27.8,22,35,0,,173,13.7,,1011.1,
2024-03-08,28.2,23.4,34,0,,161,15.4,,1011.1,
2024-03-09,28.2,23.7,33.7,0,,158,13.1,,1011.7,
2024-03-10,28.1,23.6,33.7,0,,143,12,,1013.5,
2024-03-11,28.5,24.1,33.3,0,,129,12.2,,1014.6,
2024-03-12,28.3,23.5,35,0,,186,13.3,,1013.5,
2024-03-13,28.6,23.8,35.4,0,,182,17.3,,1012,
2024-03-14,28.4,23.5,34.7,0,,174,15.3,,1011.8,
2024-03-15,28.2,23.6,33.3,0,,175,15.6,,1011.4,
2024-03-16,28.7,25,33.2,0,,154,17.1,,1012.1,
2024-03-17,28.2,24.5,32.4,0,,147,13,,1012.4,
2024-03-18,28.2,23.8,34.1,0,,149,12.9,,1011.8,
2024-03-19,28.2,24,33.7,0,,137,12.8,,1011.3,
2024-03-20,28.4,24,32.5,0,,130,14.9,,1011.5,
2024-03-21,28.8,25.7,32.7,0.2,,94,13.9,,1011.7,
2024-03-22,28.5,24.4,33.2,0.1,,114,10.2,,1010,
2024-03-23,28.5,23.3,34.2,0,,150,11.6,,1009.8,
2024-03-24,28.3,23.9,33,0,,159,12,,1011.6,
2024-03-25,27.9,23.7,32.7,0,,129,9.2,,1011.9,
2024-03-26,27.8,23,33.4,0,,136,12.2,,1012.5,
2024-03-27,28.5,23.3,33.4,0,,163,11,,1013.8,
2024-03-28,28.5,23.6,33.9,0,,169,13.8,,1011.9,
2024-03-29,29.1,24.4,35.2,0,,179,17.8,,1010.8,
2024-03-30,28.8,23.9,35.1,0,,173,17.3,,1011.7,
2024-03-31,29,24.3,34.6,0,,167,17.2,,1012.6,
2024-04-01,29.4,24.7,35.2,0,,175,17.7,,1010,
2024-04-02,29.9,25.5,35.6,0,,181,20,,1008.3,
2024-04-03,30.4,26.3,36.5,0,,180,17.4,,1009,
2024-04-04,30.4,26.3,36.4,0,,169,16.8,,1009.4,
2024-04-05,29.9,25.5,35.9,0,,180,15.5,,1008.8,
2024-04-06,30.6,25.7,37.8,0,,187,16.8,,1007.5,
2024-04-07,30.4,25.3,37.5,0,,177,15.9,,1007.4,
2024-04-08,29.9,25.3,36.7,0,,165,16.5,,1009,
2024-04-09,29.7,26.3,34,0,,104,11.8,,1010.5,
2024-04-10,29.9,26.2,33.9,0,,86,9.8,,1010.4,
2024-04-11,30.2,26.1,34.3,0,,87,11,,1010.5,
2024-04-12,30.5,27.8,34.2,0,,108,13,,1010.5,
2024-04-13,30,26.6,34.6,0,,84,9.4,,1010.6,
2024-04-14,29.9,25.8,34.6,0,,103,8.7,,1011,
2024-04-15,29.5,24.5,34.6,0,,151,8.9,,1011.2,
2024-04-16,29.7,24.8,35.4,0,,184,15.9,,1010.1,
2024-04-17,30.6,25.7,37.3,0,,181,22,,1008.5,
2024-04-18,30.9,26.3,37.5,0,,180,22.6,,1007.3,
2024-04-19,31.2,27.5,37.7,0,,172,18.8,,1006.1,
2024-04-20,31.1,27.2,36.9,0,,173,17.8,,1006.1,
2024-04-21,30.8,26.7,36.5,0,,178,16.3,,1007,
2024-04-22,30.6,26.6,36.2,0,,172,15.7,,1007.6,
2024-04-23,30.2,25.8,36,0,,174,14.5,,1007.3,
2024-04-24,30.2,24.6,36.6,0,,177,14.2,,1006.8,
2024-04-25,30.5,26.8,35.7,0,,171,14.5,,1007,
2024-04-26,30.1,25.5,35.3,0,,173,13.9,,1006.9,
2024-04-27,30,24.8,35.6,0,,176,12.6,,1007.1,
2024-04-28,30.5,25.3,36.2,0,,178,15.7,,1007.3,
2024-04-29,31.1,27.1,36.3,0,,172,17.1,,1008.4,
2024-04-30,31.5,27.3,37.5,0,,182,18.1,,1007,
2024-05-01,32.2,27.9,38.8,0,,181,24.8,,1004.3,
2024-05-02,32.7,29.3,39.2,0,,178,25.6,,1004.5,
2024-05-03,32.3,28.1,38.6,0,,178,22.9,,1005.4,
2024-05-04,32.7,29.2,38,0,,176,22.4,,1005.8,
2024-05-05,32.6,29.6,38.8,0,,174,23.6,,1004.7,
2024-05-06,32.8,29.6,38.3,0,,166,24.3,,1005.4,
2024-05-07,32.3,29.5,37.3,0,,160,21.3,,1007.4,
2024-05-08,30.3,26.2,34.4,0.9,,162,14.4,,1008.2,
2024-05-09,30.7,27.6,35,0.3,,158,13.7,,1007.5,
2024-05-10,31,27.4,35.4,1.1,,161,14.4,,1008.3,
2024-05-11,31.1,27.6,35,0.5,,163,14.1,,1008.8,
2024-05-12,31.3,28.6,35.3,0,,148,13.9,,1008.7,
2024-05-13,30.4,26.8,35.4,0.4,,134,9.6,,1008.2,
2024-05-14,30.7,27,34.8,1.3,,125,9.3,,1008.2,
2024-05-15,30.8,28.3,35.2,1.2,,132,10.5,,1008.3,
2024-05-16,28.3,26.8,32,8.8,,115,7.6,,1009,
2024-05-17,28.8,26.3,31.5,1.2,,152,10.3,,1007.6,
2024-05-18,29.2,26,33.8,6.5,,143,9.3,,1006.1,
2024-05-19,29.6,26.3,34.4,3.3,,131,9.6,,1004.4,
2024-05-20,29.1,25.4,34.4,7.3,,118,8.1,,1004.2,
2024-05-21,29.1,26.1,34.2,0.9,,23,6.2,,1003.8,
2024-05-22,29.1,26.1,35,7.5,,19,9.2,,1002.7,
2024-05-23,30,26,35.6,1.8,,113,7.8,,1001.6,
2024-05-24,31.4,26.7,37.4,0,,191,14.8,,1000.4,
2024-05-25,32.2,29.1,38.8,1.1,,233,14.3,,999.9,
2024-05-26,32.7,28.8,38.4,0.7,,240,14.5,,1001.9,
2024-05-27,34.3,29.8,41,0,,238,17,,1000.8,
2024-05-28,34.2,30.2,40.6,0,,216,15.7,,1001.6,
2024-05-29,34,30.3,40.2,0,,215,15.2,,1001.5,
2024-05-30,34.1,29.9,40,0,,194,14.1,,1002,
2024-05-31,34,30.2,40.4,0,,183,14,,1002.6,
2024-06-01,33.1,29.9,38.2,0.4,,182,17.6,,1003.4,
