date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.2,6,21,0,,311,3.6,,1020.5,
2022-01-02,12,7.2,21,0,,319,3.2,,1019.3,
2022-01-03,13.2,7,23,0,,340,3.3,,1017.2,
2022-01-04,13.8,10.4,18.2,0.8,,10,3.8,,1017,
2022-01-05,12.5,10.1,15.4,12.5,,43,3.6,,1016.7,
2022-01-06,13,8.8,20,6.6,,33,2.9,,1016.9,
2022-01-07,12.9,9.3,21.6,5.8,,48,3.4,,1017.1,
2022-01-08,11.6,9.8,21.8,7.9,,355,3.7,,1016.5,
2022-01-09,13.4,8.7,17.4,38.1,,330,4.8,,1015.2,
2022-01-10,14.1,10.8,20.6,29,,18,3.9,,1016.7,
2022-01-11,13.8,9.1,19.9,0.3,,324,3.7,,1016.5,
2022-01-12,13.9,10,20.9,11.9,,290,4,,1015.8,
2022-01-13,13,9.1,21.2,0,,345,2.7,,1016.7,
2022-01-14,10.8,5.8,20,0,,340,2.9,,1017.1,
2022-01-15,11,5.6,18.2,0,,15,3.5,,1018.1,
2022-01-16,11.4,7.8,17,0,,28,3.9,,1018.8,
2022-01-17,10.6,7.3,17,0.2,,307,3.8,,1020,
2022-01-18,11.3,6.6,21.6,0,,309,3.8,,1017.2,
2022-01-19,11.8,6.6,17.4,2.1,,356,2.9,,1014.5,
2022-01-20,12.7,10,17.7,0.3,,40,3.5,,1011.3,
2022-01-21,14,9.2,21.2,0,,36,4.2,,1011.8,
2022-01-22,10.3,5.9,14,9.6,,63,3.8,,1008.4,
2022-01-23,10.6,9.7,14.6,18,,355,3.7,,1010.3,
2022-01-24,11.2,9.6,13.9,20.1,,294,2.9,,1013.1,
2022-01-25,11.7,8.5,16,1,,312,3.6,,1013.4,
2022-01-26,11.3,5.3,16.4,1,,7,3.9,,1014.5,
2022-01-27,11.4,6.4,18,3,,325,4,,1015.3,
2022-01-28,11.9,6,19.2,0,,347,3.4,,1014.9,
2022-01-29,10.1,4.8,17.4,0,,40,4,,1015.6,
2022-01-30,11.7,5.5,22.6,0,,105,3.5,,1010.3,
2022-01-31,11.5,7.1,18.2,0,,116,4.3,,1011.5,
2022-02-01,11,5.3,20,0,,315,4.3,,1010.1,
2022-02-02,10.9,5.4,16.7,0.1,,70,3.9,,1010.4,
2022-02-03,10.9,9.6,16.9,3,,359,5.1,,1008.1,
2022-02-04,9.5,7.3,14.2,15,,319,3.4,,1009.6,
2022-02-05,11.8,5.8,19,15,,303,3.9,,1013.1,
2022-02-06,13.2,6.4,21,0,,344,3.1,,1015.4,
2022-02-07,12,5.9,20.4,0,,342,3.2,,1014.9,
2022-02-08,12.8,7.1,22.4,0,,3,3.4,,1013.3,
2022-02-09,12.1,6.9,22.9,2,,29,4,,1015.1,
2022-02-10,12.3,6.4,19,2,,337,3.7,,1016.5,
2022-02-11,12.5,6.2,20.4,0,,329,3.9,,1014,
2022-02-12,12.4,6,23,0,,316,3.4,,1013.1,
2022-02-13,12.6,6.6,20.4,0,,61,4.1,,1013.1,
2022-02-14,12.5,6.8,21.2,0,,335,3.9,,1013.6,
2022-02-15,13.1,7.7,21,0,,346,4.4,,1013.4,
2022-02-16,13.4,7.5,22,0,,338,4.1,,1010.6,
2022-02-17,13.6,7.9,23,0,,337,4.8,,1010.3,
2022-02-18,13.9,7.3,24.2,0,,329,4.9,,1011.8,
2022-02-19,13.7,7,23.6,0,,344,4.8,,1012.3,
2022-02-20,13.3,7.6,22.4,0,,323,4.6,,1006.2,
2022-02-21,13.5,6.7,23,0,,340,4.4,,1007.4,
2022-02-22,15.2,8.4,23.8,0.4,,77,5.1,,1011.8,
2022-02-23,16.4,12.1,25.2,0.3,,58,7.7,,1015.4,
2022-02-24,15.9,12.2,23.8,0,,347,3.7,,1016,
2022-02-25,16.2,8.4,23.8,4.1,,336,3.9,,1016.6,
2022-02-26,13.1,10.1,25.3,0.3,,29,6.9,,1018.5,
2022-02-27,15.7,9.1,22.4,5.1,,317,4.3,,1018,
2022-02-28,16.6,8.4,24.9,0,,317,3.8,,1015.1,
2022-03-01,16.8,11.1,25.2,0.5,,344,3.7,,1015.6,
2022-03-02,16.8,11.3,26.4,0,,303,4.1,,1015.7,
2022-03-03,16.1,11.4,25,2.9,,9,5.8,,1015.6,
2022-03-04,16.6,9.7,26.2,0,,308,4.3,,1015.2,
2022-03-05,16.9,9.3,26.2,0,,314,3.7,,1012.8,
