date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,12.1,7.3,21,0,,302,4.4,,1017.2,
2024-01-02,11.8,8,20.4,0,,310,3.8,,1016.5,
2024-01-03,11.6,6.8,21.6,0,,331,4.1,,1016.7,
2024-01-04,11.7,7,21,0,,314,4.1,,1016.8,
2024-01-05,11.9,7,21.6,0,,333,4.1,,1017,
2024-01-06,11.3,5.6,21.7,0,,314,4.3,,1018.7,
2024-01-07,12.5,6.5,21.4,0,,322,4,,1019.1,
2024-01-08,12.2,7,22,0,,353,3.6,,1019.1,
2024-01-09,11.4,5.9,20.4,0,,314,5.3,,1018.3,
2024-01-10,10.8,5.5,19.8,0,,313,4.9,,1016.4,
2024-01-11,10.5,6.9,18,0,,315,3.9,,1017.4,
2024-01-12,9.6,5.8,15.7,0,,215,4.1,,1016.7,
2024-01-13,11.1,7.2,19.2,0,,299,3.1,,1016.4,
2024-01-14,11.8,6.9,21.4,0,,320,4.5,,1016.2,
2024-01-15,11.4,6.4,21.2,0,,356,3.9,,1015.7,
2024-01-16,12.3,6.8,21,0,,5,4.3,,1014.4,
2024-01-17,12.3,6,21.6,0,,351,4.2,,1014.5,
2024-01-18,11.4,5.2,22,0,,326,4.7,,1016.1,
2024-01-19,10.3,6.4,15.1,0,,154,5,,1017.7,
2024-01-20,10,6.2,17,0,,298,4.2,,1018.3,
2024-01-21,10.1,5.2,20.2,0,,301,4.7,,1016.4,
2024-01-22,9.3,5.6,14.8,0,,37,4.4,,1018.6,
2024-01-23,9.5,3.9,19.7,0,,320,4.5,,1018.2,
2024-01-24,10.9,5.4,21,0,,344,4.3,,1017.3,
2024-01-25,11.4,5.6,21.4,0,,6,4.2,,1019.6,
2024-01-26,11.5,7,21.6,0,,330,4.5,,1020.2,
2024-01-27,12,5.7,21,0,,24,4.8,,1018.1,
2024-01-28,12.1,6.8,18.2,0,,71,5.4,,1018.1,
2024-01-29,12.8,6.8,22.2,0,,329,4.8,,1017.9,
2024-01-30,13.2,7.8,21.4,0,,31,4.3,,1016.3,
2024-01-31,12.1,7.3,19.8,6.1,,359,5,,1016.1,
2024-02-01,12.5,10.4,20.4,4.1,,22,6.4,,1017,
2024-02-02,12.3,6.4,18.8,14,,330,5.5,,1018.5,
2024-02-03,12.6,7.3,19.7,0,,336,5,,1016.7,
2024-02-04,13.2,10.3,18.4,3,,53,6.4,,1016.5,
2024-02-05,13.5,6.7,17.6,21.1,,315,4.4,,1017.3,
2024-02-06,12.2,5.3,18.2,1,,316,5.2,,1018.3,
2024-02-07,11.8,6,20.4,0,,316,5.5,,1018.5,
2024-02-08,11.4,3.5,21,0,,318,4.7,,1016.2,
