date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.4,5.6,20,,,301,2.8,,1022.4,
2022-01-02,12.1,6.8,20.2,,,289,2.2,,1021,
2022-01-03,13.2,6.8,20.8,,,281,2.6,,1018.9,
2022-01-04,15.2,9.2,22.8,,,310,1.7,,1017.6,
2022-01-05,13.3,10.9,23.2,0,,114,3.9,,1016.8,
2022-01-06,16.2,11.7,20.4,8.9,,88,5.4,,1016.8,
2022-01-07,17,13.5,21.1,0,,122,8.1,,1016.2,
2022-01-08,15.7,14.7,20.3,40.9,,112,8.4,,1015.9,
2022-01-09,13.6,12.7,16.4,7.9,,323,6.1,,1015.6,
2022-01-10,12.6,9.8,17.4,5.1,,301,4.3,,1018,
2022-01-11,12.2,6.5,18.1,0,,275,4.8,,1018.5,
2022-01-12,12.2,8.6,17.4,,,287,3.8,,1017.6,
2022-01-13,11.5,7,16.6,,,300,1.1,,1017.8,
2022-01-14,10.9,6.8,15.6,,,281,1.8,,1018.7,
2022-01-15,10.7,7.3,15.4,,,264,3.4,,1020.1,
2022-01-16,11.2,8.5,15.2,,,286,3.8,,1020.8,
2022-01-17,11.2,8.4,15,,,194,3.9,,1021.6,
2022-01-18,11.1,8.3,15.2,,,216,5.6,,1019.6,
2022-01-19,12.1,8.4,17.8,,,174,3.8,,1016.5,
2022-01-20,13,10.2,18.2,,,255,3.3,,1012.3,
2022-01-21,13,9.2,19.4,,,124,2.8,,1012.3,
2022-01-22,13.1,11.5,19.6,5.1,,130,9,,1007.8,
2022-01-23,12.3,10.2,15.2,20.1,,122,4.2,,1010.2,
2022-01-24,11,8.6,14.9,0,,287,2.8,,1014.2,
2022-01-25,10.7,7.3,15.9,,,274,5.7,,1015.4,
2022-01-26,11.1,6.5,16.2,,,278,5.4,,1016.2,
2022-01-27,11.9,7,18.2,,,294,7.2,,1017.3,
2022-01-28,12.3,7.6,19.6,,,288,9.1,,1017.1,
2022-01-29,12.9,6.6,21.8,,,279,4.5,,1017.1,
2022-01-30,14.2,8.2,21.6,,,244,8.8,,1012.7,
2022-01-31,14.4,7.4,22.9,,,256,3.3,,1011.9,
2022-02-01,14.3,8,21.2,,,258,4.7,,1011.4,
2022-02-02,14.4,6.6,21,,,202,7.1,,1011,
2022-02-03,13.1,11,23.4,0.5,,153,11.5,,1007.6,
2022-02-04,13.6,10.7,18,1,,273,7.1,,1009.6,
2022-02-05,13.5,6.9,20,0,,330,2.4,,1014,
2022-02-06,13.3,6,23,,,22,2,,1016,
2022-02-07,16.6,9.1,26,,,325,3.3,,1014.8,
2022-02-08,18.2,12,26,,,2,2.3,,1013.1,
2022-02-09,16.5,13,26,17,,326,5.4,,1015.1,
2022-02-10,16.1,9.1,23,0,,257,6.6,,1017.6,
2022-02-11,15,9,22,,,201,8.8,,1016.2,
2022-02-12,15.5,9,23.2,,,298,6.6,,1014.7,
2022-02-13,16.7,8,28,,,101,2.7,,1013.5,
2022-02-14,17.2,9,27,,,94,2.8,,1013.5,
2022-02-15,17.6,10,26,,,22,2.4,,1013.4,
2022-02-16,17.5,10,25.6,,,342,2.6,,1011.3,
2022-02-17,17.8,11.5,27,,,172,3.2,,1011.1,
2022-02-18,18.2,10,28,,,327,3.9,,1012.3,
2022-02-19,18.3,12,25,,,270,4.8,,1013.6,
2022-02-20,17.7,12,24,,,248,9.7,,1008.4,
2022-02-21,17.5,10,26,,,202,5.8,,1008.1,
2022-02-22,18.5,10,26.2,,,130,10.9,,1010,
2022-02-23,19.3,16,24,,,152,6.6,,1013.8,
2022-02-24,19,13,26,,,350,3.5,,1015.3,
2022-02-25,19.6,13,27.2,,,63,3.9,,1015.7,
2022-02-26,19.2,13.4,27.9,9.9,,139,12,,1016.9,
2022-02-27,19.3,12.1,25,1,,349,4,,1018.2,
2022-02-28,18.9,11.5,25.2,0,,291,6.3,,1016.6,
2022-03-01,17.8,10.6,25.2,,,261,4,,1016.8,
2022-03-02,18.6,12,27,,,171,3.7,,1016.5,
2022-03-03,21.1,14,29,,,41,3.2,,1015,
2022-03-04,20.4,16,25.4,,,326,7.3,,1015.8,
2022-03-05,20.1,15,25.9,,,296,9.6,,1014.3,
2022-03-06,20.1,13.9,27.2,,,318,3.9,,1013.1,
