date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,19.5,14,26.6,0,,4,3.4,,1015.4,
2024-01-02,18.7,14,26,0.2,,33,3.7,,1015.7,
2024-01-03,18.9,14,25.6,0,,25,4.1,,1015.5,
2024-01-04,18.9,14,26,0,,16,2.7,,1015.2,
2024-01-05,18.5,13.8,25.6,0.1,,5,3.2,,1016.4,
2024-01-06,18.2,12.8,26,0,,358,3.9,,1016.7,
2024-01-07,18.1,12,26.4,0,,76,4,,1017.2,
2024-01-08,18.1,12.6,25.6,0,,110,3.8,,1017.3,
2024-01-09,16.8,12.8,23,0,,162,4.2,,1016.6,
2024-01-10,17.2,13,22,0,,318,3.7,,1015.2,
2024-01-11,17.1,14.6,21.4,0,,258,4.6,,1016.2,
2024-01-12,16,12.8,20.6,0,,306,4,,1016.1,
2024-01-13,17,11,23.6,0,,346,3.3,,1015.6,
2024-01-14,16.9,13,23.8,0,,75,5.1,,1015.1,
2024-01-15,17.7,12,25,0,,15,3.5,,1014.3,
2024-01-16,16.2,15,18,9.4,,220,4.9,,1014.8,
2024-01-17,15.9,13,19.8,0,,272,3.6,,1015.4,
2024-01-18,16,11,22.6,0.1,,260,4.3,,1015.8,
2024-01-19,16.7,11,23.8,0,,19,2.9,,1016.7,
2024-01-20,17,11.2,24.6,0,,2,3.1,,1015.8,
2024-01-21,17.4,13,24,0,,231,4.1,,1015.8,
2024-01-22,15,13,19.6,0,,353,1.5,,1018.3,
2024-01-23,16.7,10.4,24,0.9,,353,1,,1016.2,
2024-01-24,17.8,12,24.6,1.6,,355,0.4,,1016.7,
2024-01-25,18,14,23.2,0.6,,354,0.8,,1018.8,
2024-01-26,17.4,12,23.8,1.7,,354,1.5,,1019.4,
2024-01-27,17.2,10.5,24,0,,15,2.5,,1018.8,
2024-01-28,17,12,23.4,0,,356,1.8,,1018.7,
2024-01-29,17.9,12.4,25,0.3,,7,1.7,,1017.1,
2024-01-30,18,12.4,25,0,,352,1.6,,1016.8,
2024-01-31,17.6,12.6,23.4,0,,2,1.8,,1016.8,
2024-02-01,17.7,13.4,23,0.5,,1,3.1,,1016.9,
2024-02-02,18.4,13,24.8,4.2,,355,2.7,,1014.2,
2024-02-03,18.4,13,23.2,0.2,,355,3.9,,1015.5,
2024-02-04,18.6,12,24.1,0,,354,2.9,,1017.5,
2024-02-05,18.1,13.6,23,0,,20,3.3,,1016.8,
2024-02-06,17.6,13.8,23.6,4.6,,4,2.6,,1015.9,
