date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.3,19,32.4,0,,103,4.6,,1016.8,
2023-01-02,25.2,18,31.7,0,,118,5.8,,1017.1,
2023-01-03,24.6,20,30.2,0,,112,5.8,,1017.3,
2023-01-04,24.4,20,29.3,0,,119,7.5,,1016.6,
2023-01-05,23.4,19.9,28.8,0.7,,114,7.8,,1017.8,
2023-01-06,22.7,20,27.4,0.2,,75,5.4,,1019.4,
2023-01-07,22.1,17.6,29,0,,46,6.5,,1018.8,
2023-01-08,20.6,11,28.7,0,,30,5.4,,1017.9,
2023-01-09,19.4,10,29.4,0,,42,3.3,,1018.7,
2023-01-10,22.1,10,29.7,0,,39,3.7,,1017.9,
2023-01-11,23.1,12,30.6,0,,25,2.3,,1015.8,
2023-01-12,22.2,13,31,0,,220,3.5,,1014.1,
2023-01-13,24.3,14,31.1,0,,94,3.9,,1014.2,
2023-01-14,24.9,15,31.3,0,,151,4.7,,1014.1,
2023-01-15,25,16,31.8,0,,103,4.7,,1013.4,
2023-01-16,25,15,31.2,0,,132,6.4,,1013.9,
2023-01-17,24.7,15,32.1,0,,129,6.7,,1014.4,
2023-01-18,24.8,16,31.4,0,,123,6.8,,1015.9,
2023-01-19,24.1,18.4,30.4,1,,102,6.5,,1016.6,
2023-01-20,23.3,15,29.2,0,,118,6.1,,1015.7,
2023-01-21,24.2,17,29.4,0,,108,5.4,,1015.9,
2023-01-22,23.9,14,29.7,0,,125,6.3,,1014.8,
2023-01-23,23.1,16,29.4,0,,103,7.2,,1014.3,
2023-01-24,23.7,19,29.4,0,,120,9,,1014.1,
2023-01-25,24.2,19.2,30,0,,121,7.8,,1013.9,
2023-01-26,23.5,17,29.6,0,,112,8,,1014.1,
2023-01-27,23.7,15,30.2,0,,98,6.5,,1014.8,
2023-01-28,23.3,14,30,0,,120,5.4,,1013.9,
2023-01-29,24.8,15,30.6,0,,111,7.3,,1012.7,
2023-01-30,24.1,20,29.8,0,,119,7.7,,1014.3,
2023-01-31,24.6,20,29.6,0,,84,5,,1014,
2023-02-01,24.9,20,30.4,0,,52,7.6,,1014.1,
2023-02-02,24.4,18.8,29.9,0,,54,9.1,,1014.8,
2023-02-03,22.6,13,31,0,,29,4.2,,1014.4,
2023-02-04,25.4,16.1,31.8,0,,51,3.8,,1013.6,
2023-02-05,25.7,15,32.4,0,,55,3.9,,1013.3,
2023-02-06,25.8,15,32.7,0,,102,5.5,,1012.9,
2023-02-07,26.7,18,32.6,0,,129,5.5,,1012.1,
2023-02-08,26,19,33.2,0,,78,4,,1012.7,
2023-02-09,26.7,18,33.9,0,,40,4.4,,1013.8,
2023-02-10,26.3,16,34.2,0,,41,4.1,,1014.8,
2023-02-11,25.2,16,34.8,0,,23,3.6,,1015,
2023-02-12,27.7,17.9,35.4,0,,5,4.9,,1015.5,
2023-02-13,24.9,17,35.6,0,,22,6.4,,1016.4,
2023-02-14,24.7,14,32.8,0,,5,4.7,,1015.8,
2023-02-15,24.1,13,33.4,0,,6,5.1,,1014.1,
2023-02-16,26.2,14,34.2,0,,26,4.9,,1014.2,
2023-02-17,25.8,16,34.2,0,,15,3.7,,1014.4,
2023-02-18,26.7,17,33.6,0,,78,4.9,,1014.4,
2023-02-19,26.4,18,33.5,0,,96,5.4,,1014.6,
2023-02-20,25.8,18,32.4,0,,50,2.7,,1014.4,
2023-02-21,26.3,18,35.2,0,,9,4.7,,1014.6,
2023-02-22,28,17,35.8,0,,60,4,,1013.7,
2023-02-23,28.2,17,35.9,0,,78,4.8,,1013.7,
2023-02-24,28.2,18.9,35.4,0,,79,4.9,,1014.7,
2023-02-25,28.2,17,35,0,,42,5,,1016.1,
2023-02-26,27.8,17,35.6,0,,117,6.3,,1017.2,
2023-02-27,27.3,17,34.1,0,,114,6.7,,1017.5,
2023-02-28,27.5,17,33.9,0,,109,6.5,,1017.6,
2023-03-01,26.6,17,33.2,0,,105,6.4,,1018,
2023-03-02,27.3,20,32.6,0,,107,5.4,,1018.2,
2023-03-03,29.6,18,34.2,0,,120,5.4,,1018.8,
2023-03-04,27.7,19,34.2,0,,97,5,,1018.5,
2023-03-05,27.8,19.5,34,0,,112,4.3,,1018.1,
2023-03-06,28.4,18,34.6,0,,102,4.8,,1016,
2023-03-07,25.3,20.7,34.7,0,,2,8.4,,1017.1,
