date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,22.2,15,28,0,,99,5.8,,1016.5,
2024-01-02,21.7,16,27,0,,94,6.2,,1016.1,
2024-01-03,22.4,17,27,0,,115,6.6,,1015.1,
2024-01-04,22.7,19,28,0,,109,7.2,,1014.9,
2024-01-05,22.8,18,28.2,0,,122,6.7,,1015,
2024-01-06,22.8,18,29,0,,113,7.3,,1015.4,
2024-01-07,22.5,19,27,0,,106,8.5,,1016.2,
2024-01-08,22.9,18,28,0,,107,8.5,,1016.9,
2024-01-09,23.1,19.6,27,0,,113,7.8,,1017,
2024-01-10,23.4,20,29,0,,103,5.4,,1016.4,
2024-01-11,24.3,18,30,0,,92,4.8,,1016.6,
2024-01-12,24.5,17,30.2,0,,105,5,,1016.1,
2024-01-13,24.8,18,31,0,,33,3.6,,1016.2,
2024-01-14,25.2,18,33,0,,335,2.4,,1015.5,
2024-01-15,24.7,18,31.2,0,,341,3.2,,1014.6,
2024-01-16,24.7,18,31,0,,113,6.2,,1013.1,
2024-01-17,24.6,19,31,0,,124,6.7,,1012.2,
2024-01-18,24.2,19,31,0,,132,7.3,,1014.2,
2024-01-19,24.3,17,31,0,,128,5.1,,1014.6,
2024-01-20,24.2,20,30,0,,113,7.6,,1015.5,
2024-01-21,24.9,19,31,0,,131,6.7,,1015.5,
2024-01-22,25,20,31,0,,126,6.9,,1016.2,
2024-01-23,25.5,20,31,0,,147,6.9,,1014.5,
2024-01-24,25.3,21.6,31,0,,115,6.2,,1014.5,
2024-01-25,23.8,20,28.8,0,,76,6.7,,1017,
2024-01-26,23.6,17,29.4,0,,89,6,,1018.6,
2024-01-27,23.7,20,28.4,0,,89,5,,1018.8,
2024-01-28,23.3,16,29.2,0,,98,5.3,,1018.5,
2024-01-29,23.1,16,28.6,0,,112,6,,1017.6,
2024-01-30,23.7,16,30,0,,112,5.3,,1016.2,
2024-01-31,24.7,19,31.4,0,,132,5.5,,1015.4,
2024-02-01,24.8,19,32,0,,142,4.8,,1015.2,
2024-02-02,25.5,19,32,0,,138,4.2,,1015.3,
2024-02-03,25.5,22,30,0,,79,7.8,,1016.7,
2024-02-04,25.6,19,31.2,0,,86,5.8,,1017.8,
2024-02-05,27,22,33.6,0,,127,4.6,,1016.6,
2024-02-06,27.9,21,34,0,,129,5.4,,1016.7,
2024-02-07,28.3,20,35.4,0,,153,4.2,,1016.1,
2024-02-08,27.7,22,34.5,0,,37,5.1,,1015.8,
