"date","average_temperature","minimum_temperature","maximum_temperature","precipitation","wind_direction","wind_speed","pressure"
"2023-01-01",14.1,9.6,20.9,0,328,6.1,1019.8
"2023-01-02",12.9,8,20,0,335,4.8,1020.7
"2023-01-03",12,7,19.1,0,339,6.5,1021.3
"2023-01-04",11.1,6.9,17.3,0,309,6.9,1021.7
"2023-01-05",9.8,5.2,16.6,0,302,7.1,1022.9
"2023-01-06",9,4.9,15.8,0,296,7.2,1023.5
"2023-01-07",9.5,4.7,17.6,0,272,8.1,1021.4
"2023-01-08",10.5,5,18.4,0,275,8,1019.2
"2023-01-09",11.3,5.7,19.8,0,287,7.2,1019.7
"2023-01-10",13.4,6.9,21.4,0,284,7.9,1018.2
"2023-01-11",13.4,7.8,20.8,0,261,7,1015.2
"2023-01-12",14.2,8.5,21.7,0,102,7.4,1013.5
"2023-01-13",16,11.3,22.6,0,93,8,1013
"2023-01-14",15.4,10.4,21.6,0,308,9.7,1014.6
"2023-01-15",11.9,8.1,17.2,0,285,11.2,1015.2
"2023-01-16",9.8,4.6,16.3,0,296,8.4,1016.5
"2023-01-17",10.2,4.5,17.1,0,298,7.8,1017
"2023-01-18",10.8,4.4,18.5,0,307,7.8,1019
"2023-01-19",12.4,4.6,19.5,0,355,5.6,1019
"2023-01-20",13.6,6,20.3,0,81,7.5,1016.9
"2023-01-21",14.7,8.5,22.5,0,9,6.2,1016.2
"2023-01-22",14.9,10.2,21.1,0,74,8.2,1015.6
"2023-01-23",15.7,9.6,22.6,1.7,19,6.5,1015.2
"2023-01-24",18.3,14.5,24.2,0,59,10.4,1014.3
"2023-01-25",18.1,15.2,22.4,5.1,47,9.4,1014.5
"2023-01-26",17.3,13.8,21.8,0,310,9.6,1016.4
"2023-01-27",15.5,11.5,20.8,0,294,11.7,1016.9
"2023-01-28",13.8,8.6,21.1,0,275,9.3,1015.2
"2023-01-29",14.8,7.4,22.3,0,90,6.7,1014.7
"2023-01-30",16.4,11.7,23.3,0,45,10.9,1016.6
"2023-01-31",16.5,12,22.2,0,303,13.5,1017
