date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,14.2,9.9,19.7,0,,1,5.5,,1017.5,
2024-01-02,13.5,8.8,20,0,,338,6.6,,1017.2,
2024-01-03,14.8,10.1,20.7,1.1,,45,6.5,,1016.7,
2024-01-04,15.7,10.6,20.9,0,,319,5.8,,1016.6,
2024-01-05,16.3,13.1,19.8,1,,7,6.6,,1016.9,
2024-01-06,15.8,11.7,20.3,0,,354,6.5,,1018.2,
2024-01-07,14,9.6,20.2,0,,338,7,,1019.3,
2024-01-08,13.9,8.8,20.6,0,,349,6.5,,1019.1,
2024-01-09,14,8.9,18.7,0.1,,337,9,,1018.4,
2024-01-10,13.7,10.1,19,0,,287,10.7,,1017.3,
2024-01-11,12.2,7.5,18.7,0,,288,7.9,,1018.5,
2024-01-12,11.4,5.7,19.1,0,,294,7.7,,1018,
2024-01-13,12,6.3,19.1,0,,314,6.7,,1017,
2024-01-14,11.2,5.1,19.9,0,,311,8.7,,1016.6,
2024-01-15,10.9,4.4,19.3,0,,302,7.7,,1016.3,
2024-01-16,10.7,4.9,17,0,,316,4.3,,1014.9,
2024-01-17,10.2,6.1,17.2,0,,55,6.4,,1014.9,
2024-01-18,9.9,3.9,16.9,0,,352,6.2,,1016.5,
2024-01-19,10.5,4.7,17,0,,10,6.5,,1018.1,
2024-01-20,10.7,5,16.9,0,,317,5.7,,1018.4,
2024-01-21,10.6,5.3,17.5,0,,278,8.6,,1017.8,
2024-01-22,10.4,6.1,17.3,0,,319,5.9,,1019.1,
2024-01-23,10,4.5,17.4,0,,302,7.4,,1018.1,
2024-01-24,10.7,5.6,18.2,0,,277,5.7,,1018.2,
2024-01-25,12,7,19.4,0,,299,4.9,,1020.1,
2024-01-26,11.7,5.2,19,0,,285,5.7,,1020.9,
2024-01-27,12.5,6.4,20.5,0,,263,9.3,,1019.7,
2024-01-28,13.9,7.7,21.3,0,,148,7,,1018.5,
2024-01-29,15.1,9.9,22.3,0,,79,7.3,,1017.4,
2024-01-30,15.7,9.2,22.3,0,,285,5.4,,1016.8,
2024-01-31,15.9,9,24,0,,112,6.1,,1016,
2024-02-01,16.8,12.5,23.1,0,,82,10.6,,1016,
2024-02-02,15.3,9.6,22.3,0,,316,10.4,,1017.4,
2024-02-03,15.7,9.6,23,0,,277,12,,1017.1,
2024-02-04,15.9,12.8,20.8,11.2,,45,8.9,,1017.2,
2024-02-05,16.9,13.3,22.3,0.6,,98,6.7,,1016.7,
2024-02-06,15.5,11.5,21.1,0,,308,8.7,,1018.2,
2024-02-07,14.2,9.2,19.7,0,,292,12.1,,1018.9,
2024-02-08,14.3,9.7,20,0,,277,16.8,,1017.8,
2024-02-09,13.7,7.5,21,0,,306,7.3,,1019.2,
2024-02-10,13.7,7.4,21,0,,353,7,,1020.6,
2024-02-11,14.2,7.3,22.2,0,,320,7,,1020.1,
2024-02-12,15.8,8,23.5,0,,34,6.8,,1019.3,
2024-02-13,18.7,13.7,24.8,0,,73,8.4,,1017.6,
2024-02-14,18.2,15.2,23.5,4.9,,41,6.1,,1017.3,
2024-02-15,18.1,12.1,24.9,0,,312,5.7,,1018.4,
2024-02-16,17.7,11.4,25.1,0,,293,7,,1018.8,
2024-02-17,17.4,11.5,25.5,0,,292,9.3,,1015,
2024-02-18,18.3,10.3,26.5,0,,191,6.2,,1013.1,
2024-02-19,20.3,14.3,27.3,0,,113,11.8,,1012.2,
2024-02-20,20.7,13.6,27.9,0,,353,9.2,,1011,
2024-02-21,19.8,16.1,25,1.1,,286,8.3,,1009.7,
2024-02-22,17.9,13.2,24.5,0,,328,10,,1011.9,
2024-02-23,16.3,10.1,24.5,0,,309,9.8,,1014.9,
2024-02-24,17.1,9.8,25.2,0.6,,33,9,,1015.5,
2024-02-25,17.8,11.7,24.8,0,,5,9.3,,1017.2,
2024-02-26,18.2,12.2,24.3,0,,353,7.2,,1017.7,
2024-02-27,19.1,13.8,25.5,0,,320,6.4,,1016.4,
2024-02-28,18.7,13.2,25.6,0,,297,12,,1014.7,
2024-02-29,18.9,12.9,26,0,,286,9.9,,1014.6,
2024-03-01,20.4,11.7,28.5,0,,291,6.5,,1014.4,
2024-03-02,21,16.7,25.2,2,,82,12.1,,1013.3,
2024-03-03,19.4,17,23.1,12.2,,101,12,,1012.2,
2024-03-04,19.2,14.8,24.4,5.6,,322,8.2,,1014.2,
2024-03-05,17,11.6,23.5,0,,313,12,,1016,
2024-03-06,16.8,10.8,23.5,0,,305,10.4,,1014.9,
2024-03-07,17.6,10.1,25.2,0,,290,10.4,,1014.4,
2024-03-08,19.3,12.3,26.6,0,,294,10.3,,1014.6,
2024-03-09,18.7,11.4,26,0,,294,10.6,,1014.9,
2024-03-10,18.8,10.9,26.7,0,,311,8.5,,1015.3,
2024-03-11,21.3,15.1,29,0,,21,6.9,,1015.5,
2024-03-12,22.8,15.1,30.5,0,,325,10.6,,1013.1,
2024-03-13,23,15.1,30.8,0,,321,8.9,,1011.5,
2024-03-14,23.4,16.2,30.5,0,,8,8.1,,1012.3,
2024-03-15,22.5,15.9,29.6,0,,320,10.1,,1012.8,
2024-03-16,21.7,13.9,29.1,0,,328,7.9,,1014.7,
2024-03-17,21.4,12.8,29.5,0,,316,8,,1014.1,
2024-03-18,22,14.3,29.5,0,,309,7.5,,1012.8,
2024-03-19,21.6,14.3,29.4,0,,296,7.6,,1012.3,
2024-03-20,22.6,14.1,30,0,,344,9.3,,1013,
2024-03-21,21.6,15,28,0,,76,9.9,,1013.6,
2024-03-22,23.4,16.2,30,0,,179,7.2,,1010,
