date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,13,9,18,0,,4,3,,1018,
2024-01-02,12.7,9,19,0,,305,5.8,,1017.4,
2024-01-03,13.5,9.4,19.3,0,,352,4.3,,1017,
2024-01-04,14.4,10.8,18.4,0.8,,307,6.5,,1017.1,
2024-01-05,14.1,12,17.2,0,,342,5.8,,1017.4,
2024-01-06,14.8,13,18.2,7.1,,328,4,,1018.5,
2024-01-07,15.6,9.8,20.6,0,,311,5.7,,1019.4,
2024-01-08,14.8,10,20,0,,311,6.3,,1019.3,
2024-01-09,12.6,10,16,0.3,,305,6.2,,1018.6,
2024-01-10,12.6,10,16,0,,292,10.2,,1017.2,
2024-01-11,10.1,7,14,0,,303,4.5,,1018.8,
2024-01-12,10.6,6,16.6,0,,286,4.2,,1018.2,
2024-01-13,10.8,8,16.6,0,,288,3.9,,1017.3,
2024-01-14,9.4,6,14,0,,307,4,,1017,
2024-01-15,9.7,7,14,0,,302,5.4,,1017,
2024-01-16,9.7,7.4,14,0,,196,4.9,,1015.7,
2024-01-17,10.3,8,14.2,0,,120,6.5,,1015.5,
2024-01-18,10.9,8,14.8,0,,350,4.6,,1017.1,
2024-01-19,10.4,7,12.6,0,,26,3.9,,1019.1,
2024-01-20,10.1,9,11.4,0,,314,5,,1019.2,
2024-01-21,9.8,8,12.2,0,,303,7.1,,1018.4,
2024-01-22,10.6,8,16,0,,353,3.7,,1020,
2024-01-23,9.6,4,17,0,,284,4.8,,1018.4,
2024-01-24,10.8,7,17,0,,284,4,,1018.3,
2024-01-25,10.2,5,16.4,0,,307,2.9,,1020.5,
2024-01-26,11.2,8,18,0,,314,2.9,,1021.3,
2024-01-27,11.8,7,20,0,,273,5.3,,1019.6,
2024-01-28,12.3,9,17.4,0,,95,5.6,,1019.2,
2024-01-29,14.4,9,22,0,,87,4.3,,1017.7,
2024-01-30,15.1,9,22.8,0,,321,2.5,,1016.8,
2024-01-31,16.4,10,24.8,0,,340,3.5,,1015.9,
2024-02-01,16.7,13,22,0.3,,71,7.7,,1016.3,
2024-02-02,16.1,10,23.4,0,,301,8.3,,1016.9,
