date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,14.1,10,19,0,,321,3.6,,1019.1,
2023-01-02,14.3,13,16,0,,298,5.5,,1020.6,
2023-01-03,13.1,11.4,14.2,0,,311,4.5,,1020.9,
2023-01-04,13,12,15,0,,310,6,,1020.9,
2023-01-05,11.6,10,13,0,,275,6.1,,1022.3,
2023-01-06,11.3,8.6,15,0.5,,289,8.4,,1022,
2023-01-07,10.3,7.8,14,0,,299,7.1,,1020.2,
2023-01-08,10.8,8,16,0,,304,5.1,,1018.8,
2023-01-09,9.8,7,13,0,,322,3.6,,1019.4,
2023-01-10,11.2,8.6,17,0,,298,5.8,,1017.7,
2023-01-11,11.7,8.8,17.4,0,,331,3.8,,1015.6,
2023-01-12,11,8,15.2,0,,343,2.3,,1013.2,
2023-01-13,13.4,9.8,20,0,,352,1.2,,1013.4,
2023-01-14,17.1,10,26,0,,337,2.8,,1012.6,
2023-01-15,14.9,10.6,19,0,,315,5.3,,1013.6,
2023-01-16,13.4,8.8,19.6,0,,329,4.2,,1015.4,
2023-01-17,12.7,6.4,20,0,,318,3.5,,1016,
2023-01-18,13.1,7,20,0,,322,4.2,,1018.1,
2023-01-19,13.6,7,22,0,,328,2.8,,1018.5,
2023-01-20,15.4,8.2,24,0,,355,2.4,,1017.1,
2023-01-21,18.9,10.6,25,0.3,,294,4.5,,1015.2,
2023-01-22,18.8,11.2,25,0,,313,3.1,,1014.7,
2023-01-23,19.6,13.2,27,0,,321,3.4,,1013.8,
2023-01-24,20.4,13.4,28,0,,47,3.6,,1014.1,
2023-01-25,21.6,15.6,28,0,,48,4.7,,1013.6,
2023-01-26,21.8,17,26,0,,298,6.2,,1013.8,
2023-01-27,21.4,17.4,26,0,,267,11.1,,1014,
2023-01-28,18.1,13.8,23,0,,292,7.1,,1014.3,
2023-01-29,17.3,11,26,0,,340,2.8,,1014.7,
2023-01-30,20.1,11.6,28,0,,338,3.3,,1015.5,
2023-01-31,21.3,16.2,26,0,,267,9.6,,1013.6,
2023-02-01,18.8,15.4,23.3,0,,277,9.5,,1014.5,
2023-02-02,17.6,13,22,0,,273,6.4,,1015.3,
2023-02-03,18.4,12,25,0,,288,6.2,,1014.4,
2023-02-04,18.5,13.8,24,0,,289,7.5,,1012.2,
2023-02-05,19.6,12.8,27,0,,312,4.4,,1011.6,
2023-02-06,19.4,12.4,27,0,,311,3.7,,1011.4,
2023-02-07,20.9,12.6,28,0,,328,3.1,,1009.7,
2023-02-08,21.2,15,28,0,,286,7.3,,1011.4,
2023-02-09,19.6,11.8,27,0,,294,5.1,,1012.9,
2023-02-10,20.3,13.4,28,0,,316,2.9,,1012.8,
2023-02-11,21.9,13.6,30,0,,13,2.3,,1011.2,
2023-02-12,22.2,16,29,0,,290,10.1,,1012.4,
2023-02-13,18.5,13.6,24,0,,271,12,,1013,
2023-02-14,18.2,11,25,0,,291,4.4,,1014,
2023-02-15,19,11.8,26,0,,331,2.6,,1012.2,
2023-02-16,20.2,13,28,0,,352,1.6,,1013.6,
2023-02-17,21.6,14,29,0,,350,2.2,,1014.3,
2023-02-18,22.7,15.2,31,0,,340,2.3,,1014.2,
2023-02-19,23.6,16.4,30.4,0,,325,3.3,,1013.2,
2023-02-20,23.6,17.6,29.4,0,,323,3.1,,1011.7,
2023-02-21,24.3,17.8,31,0,,326,2.5,,1011.5,
2023-02-22,25.6,18,33,0,,292,6,,1009.7,
2023-02-23,24.9,16.6,32,0,,278,7.9,,1010.5,
2023-02-24,23.8,16,31,0,,276,7,,1013.2,
2023-02-25,22.6,14.4,31,0,,282,4.2,,1015.9,
2023-02-26,23.3,15.2,31,0,,308,4,,1017.1,
2023-02-27,23.5,16,31.2,0,,296,4.8,,1016.6,
2023-02-28,24.7,17.2,32,0,,297,4.4,,1016.2,
2023-03-01,25.6,17,33.2,0,,319,4.3,,1016.6,
2023-03-02,26,18.6,33,0,,287,7,,1016.2,
2023-03-03,27.6,20,33.3,0,,275,10,,1016.1,
2023-03-04,26.4,19.8,33.2,0,,280,8.5,,1016,
2023-03-05,25.9,19,33,0,,273,9.4,,1015.2,
2023-03-06,26.1,19.2,33,0,,275,12,,1013.8,
2023-03-07,25.8,18,32,0,,285,7.3,,1014.6,
2023-03-08,23.9,19,29,1.6,,12,4.1,,1016.4,
2023-03-09,26.7,16.5,33,0,,317,4.5,,1014.9,
2023-03-10,26.1,19.4,32.2,0,,275,6.2,,1014.1,
2023-03-11,26.4,18.6,33,0,,308,4.7,,1014.1,
2023-03-12,26.4,18.4,34,0,,324,3.3,,1013.2,
2023-03-13,27.2,19.2,34,0,,321,3.2,,1011.9,
2023-03-14,27.4,20.2,33.4,0,,287,5.4,,1009.1,
2023-03-15,28,20,35,0,,284,6.3,,1008.5,
2023-03-16,27.4,20.8,34,0,,70,4.6,,1010.4,
2023-03-17,26.1,22.6,31,0,,87,7.7,,1011.9,
2023-03-18,26.5,19.4,32,2.4,,89,4.6,,1010,
2023-03-19,23.9,19.2,27,5.1,,93,9.8,,1008.8,
2023-03-20,22.5,19.6,26,0,,103,7.1,,1008,
2023-03-21,23.1,18,29,4.1,,73,3.8,,1008.9,
2023-03-22,24.3,15.9,30,9.9,,273,8.4,,1007.9,
2023-03-23,25.5,18,32,0,,266,8.7,,1007.6,
2023-03-24,26.8,19.6,34,0,,306,3.4,,1008.5,
2023-03-25,27.2,19.8,34,0,,34,3.9,,1009.3,
2023-03-26,28.7,20.6,36,0,,300,6.3,,1007.8,
2023-03-27,28.7,20.2,35,0,,274,10.5,,1007.5,
2023-03-28,28.2,20.6,34,0,,282,7.7,,1008.3,
2023-03-29,28.4,19.8,35,0,,319,4.3,,1009.1,
2023-03-30,29,20.2,37,0,,295,5.2,,1006.9,
2023-03-31,25.7,21.6,29,0,,52,7.4,,1008.1,
2023-04-01,26.1,18.7,31,1,,344,6.5,,1008,
2023-04-02,27.5,19.2,33,0,,299,7.9,,1006.2,
2023-04-03,28.4,20.4,35,0,,286,8.8,,1005.7,
2023-04-04,30,20.8,38,0,,312,5.4,,1005.8,
2023-04-05,29.9,22.2,36,0,,280,11.7,,1006.8,
2023-04-06,29.9,20.2,37,0,,280,8.5,,1009,
2023-04-07,30.5,22.2,38,0,,281,9.9,,1010.9,
2023-04-08,31.4,22.8,37.4,0,,293,7.3,,1012.3,
2023-04-09,32,24.6,38.2,0,,290,8.4,,1011.6,
2023-04-10,32,25.8,38,0,,277,10.2,,1009.6,
2023-04-11,31.4,22,39,0,,286,9.6,,1009.1,
2023-04-12,31.5,21.8,39.2,0,,284,8.1,,1007.9,
2023-04-13,33.9,24.4,41,0,,278,9.9,,1006.5,
2023-04-14,33.3,24.6,41,0,,307,5.5,,1006.5,
2023-04-15,33.7,24.2,41,0,,329,4.2,,1006.8,
2023-04-16,34.4,25.8,42,0,,288,9.1,,1004.7,
2023-04-17,35,25,43,0,,289,8.2,,1004.9,
2023-04-18,36,27,43,0,,283,9.9,,1005.3,
2023-04-19,36.1,27,43,0,,280,11.4,,1001.8,
2023-04-20,36.2,27.8,42.4,0,,273,12.1,,999.5,
2023-04-21,33.5,27.6,38.4,0,,277,12.6,,1001.6,
2023-04-22,30.4,21.8,38,4.1,,225,8.6,,1003.4,
2023-04-23,29.8,22.4,36,0,,132,8.8,,1005.7,
2023-04-24,27.6,21.2,32.2,0,,66,12.2,,1010.3,
2023-04-25,29.8,22.2,35,0.5,,5,4.8,,1010.2,
2023-04-26,30.8,23.5,37,0,,358,3.5,,1007.4,
2023-04-27,29.9,23.2,36,0,,261,6.6,,1007.7,
2023-04-28,32.3,22.6,38,0,,313,4.7,,1007.1,
2023-04-29,31.6,27.2,35,0,,257,8.3,,1006.7,
2023-04-30,26.3,22,35,0,,266,6.8,,1006.8,
2023-05-01,26.1,21.1,31,22.1,,75,5.8,,1008.1,
2023-05-02,28.2,20.8,33,7.9,,20,3.1,,1008.6,
2023-05-03,30.2,23.8,34,0,,251,5.9,,1008.8,
2023-05-04,28.1,23.6,32.4,0.3,,8,6.7,,1008,
2023-05-05,30.3,23.4,36,0,,320,6.5,,1005.8,
2023-05-06,31.7,23.4,37,0,,276,10.5,,1003.8,
2023-05-07,33.3,25,39,0,,285,8.5,,1003.2,
2023-05-08,33.6,24.2,40,0,,303,7.6,,1003.3,
2023-05-09,34.1,26,42,0,,298,7.4,,1003.3,
2023-05-10,33.6,24.6,40.4,0,,291,7.9,,1003.7,
2023-05-11,32.9,23,40.2,0,,333,3.9,,1005.5,
2023-05-12,32.5,22.8,40,0,,51,5.9,,1005.3,
2023-05-13,33.6,29,38.6,0,,74,8.5,,1004.4,
2023-05-14,34.7,27,40.4,0,,51,4.7,,1000.3,
2023-05-15,31.2,24.2,36.4,0,,84,10.3,,1001.5,
2023-05-16,33.5,26.6,40,0,,78,8.5,,1001.9,
2023-05-17,31.9,26.6,37.4,0,,78,11.6,,1004.7,
2023-05-18,31.4,26.4,36.2,0.3,,81,12,,1006.1,
2023-05-19,32.9,25.4,40,0,,59,9.5,,1004,
2023-05-20,34.4,25.6,41.8,0,,42,7.8,,1003.1,
2023-05-21,34.5,27.8,41,0,,77,9.5,,1003.5,
2023-05-22,32.8,26.2,38.4,0,,82,14.7,,1005,
2023-05-23,28.2,25.4,31,0.6,,63,10.3,,1006.2,
2023-05-24,29.9,23.6,36.6,0.2,,73,11.6,,1004.8,
2023-05-25,30.9,25.2,37.4,0,,53,8.8,,1003.7,
2023-05-26,29.8,24,36,1,,31,7.6,,1004.9,
2023-05-27,30.4,23.4,35,0,,292,5.3,,1005.4,
2023-05-28,32.2,26,37.2,0,,84,8,,1005.7,
2023-05-29,34.1,28.4,39.2,0,,81,8.9,,1006.5,
2023-05-30,35.4,28.4,40.6,0,,57,5,,1005.2,
2023-05-31,36.4,30.2,41.2,0,,316,7.7,,1003.5,
2023-06-01,35,29,40,0,,277,12.4,,1002.7,
2023-06-02,35.4,28,41.4,0,,287,10.3,,1001.9,
2023-06-03,36,29.2,42,0,,288,7.4,,1002.9,
2023-06-04,35.9,28,42,0,,332,4.1,,1002.3,
2023-06-05,34.4,29.8,38.6,0,,317,5.6,,1001.8,
2023-06-06,34.9,27.4,41,0,,316,4.6,,1000.7,
2023-06-07,37.3,28.2,42.4,0,,302,6.2,,999.9,
2023-06-08,37.3,29.8,43,0,,294,8.2,,999.8,
2023-06-09,36.8,28.2,43.4,0,,327,6.8,,997.4,
2023-06-10,35.7,29.6,42,0,,77,10.4,,996.7,
2023-06-11,35.5,29.6,42,0,,36,8.8,,995.9,
2023-06-12,34.8,28.6,41,0,,85,8.4,,996.5,
2023-06-13,35.8,30,42,0,,61,9.8,,995.3,
2023-06-14,37.4,28.2,43.5,0,,310,9.7,,995.4,
2023-06-15,38.7,30,43.8,0,,282,12.6,,995.6,
2023-06-16,38.3,32.8,43,0,,273,13.6,,996.8,
2023-06-17,38.8,32.2,44,0,,281,9.4,,997.8,
2023-06-18,35.7,31.6,42,0,,69,8.2,,998.5,
2023-06-19,34.5,27.4,42,0.1,,77,9.4,,998.4,
2023-06-20,33.5,28,39.6,1.9,,76,9.1,,998.7,
2023-06-21,33.7,28.6,39,9.5,,87,10.2,,999.6,
2023-06-22,34.8,26.6,40,9.9,,92,7.2,,999.8,
2023-06-23,34.3,28.6,37,0,,81,9.2,,1000,
2023-06-24,34.5,30.8,38.4,4.2,,90,12.5,,999.4,
2023-06-25,34.4,29.2,38,1,,92,16.1,,999.4,
2023-06-26,32.5,29.8,36,0.6,,97,16.1,,999.2,
2023-06-27,30.7,27.6,36,1.9,,94,15.7,,999.1,
2023-06-28,29.3,26.6,33,1.7,,97,15.6,,1000.8,
2023-06-29,28.1,26.6,30,29.8,,115,11.4,,1000.9,
2023-06-30,28.2,23.9,30,143,,96,7,,1001.2,
2023-07-01,29.1,24.6,32,22.1,,113,7.4,,1001.2,
2023-07-02,29.7,24.6,33,56.9,,92,4.7,,1001,
2023-07-03,30.5,25.8,34,5.1,,130,7.6,,1001,
2023-07-04,30.7,27.6,35,3,,90,9.6,,1000.1,
2023-07-05,30.9,26.4,34,5.1,,82,11.5,,999.9,
2023-07-06,32.4,26.9,36.2,0,,92,11.8,,1000.6,
2023-07-07,30.6,28,35,2.5,,98,13.1,,1001.1,
2023-07-08,31.7,26.6,36,23.1,,103,12,,1002.5,
2023-07-09,33.4,27.2,37,0.3,,104,9.1,,1001.6,
2023-07-10,32.8,27.8,37,0,,148,6.7,,1001,
2023-07-11,31.9,28.8,35,9,,102,6.6,,1000.7,
2023-07-12,31.9,27,37,2.3,,174,6.2,,1000.8,
2023-07-13,31.3,29,35.1,2.5,,99,6.8,,1001.2,
2023-07-14,29.4,26,34,13.2,,79,5.4,,1002.1,
2023-07-15,30.5,27,36,7.5,,83,7.1,,1001.4,
2023-07-16,30.4,27.8,34,0.4,,81,10.5,,1000.1,
2023-07-17,31.2,28,35,0.3,,98,13.1,,999.4,
2023-07-18,32.5,27.3,35,0,,92,12.8,,999.5,
2023-07-19,33.5,29.6,37,0,,92,12.1,,998.4,
2023-07-20,33.5,30,37,0,,103,12.4,,998.6,
2023-07-21,33.2,29.8,36,0.6,,98,14.1,,1001.1,
2023-07-22,32,29,35,0.5,,96,14.5,,1004.1,
2023-07-23,33.3,27.7,37,0,,107,12.9,,1003.7,
2023-07-24,33.4,29.6,37,0,,121,9.7,,1001.7,
2023-07-25,33.1,29.8,36.4,0,,102,8.7,,1002.3,
2023-07-26,33,29,37,0,,95,10.9,,1002.5,
2023-07-27,33,29.2,37,0,,95,13.4,,1000.9,
2023-07-28,33.8,28.7,37,0,,92,10.6,,998.4,
2023-07-29,32.7,29.4,36,5.1,,84,8.5,,998.6,
2023-07-30,31.3,27.9,34,0,,275,5.7,,998.2,
2023-07-31,33,26.3,36,0,,301,7.4,,997.4,
2023-08-01,31.8,25.8,36,14,,297,6.3,,995.7,
2023-08-02,31.2,25.8,33,8.9,,73,13.1,,994.9,
2023-08-03,30.4,26.6,32,1,,91,17.9,,995.9,
2023-08-04,31.4,27.4,35,0,,117,12.6,,999.1,
2023-08-05,30.6,27.5,33,0,,140,9,,1000.7,
2023-08-06,29.9,26.8,33,3,,304,4.6,,998.5,
2023-08-07,29.4,26.1,31,50,,254,10.1,,997.2,
2023-08-08,29.8,27,31,3,,251,8.6,,999.1,
2023-08-09,28.6,25,30,15,,274,8.6,,1002,
2023-08-10,31.1,26.8,33,18,,225,7.5,,1003.2,
2023-08-11,30.4,27.6,32,0,,255,8.7,,1002.7,
2023-08-12,31.6,27.8,35,2,,265,9.5,,1000.9,
2023-08-13,30.9,27.8,34,0.3,,265,9.2,,1001.9,
2023-08-14,30.8,27,35,0,,9,3.5,,1003.6,
2023-08-15,32.7,27,36,14,,276,6.5,,1003.2,
2023-08-16,31.9,28.2,36,0,,268,8.4,,1002.4,
2023-08-17,31.8,27,35,22.1,,299,5.8,,1002.6,
2023-08-18,31.8,28.6,35,0,,71,6.3,,1001.8,
2023-08-19,31.7,28.6,35,0.4,,98,13.1,,1002.3,
2023-08-20,32.4,28.2,36,0.4,,112,11.3,,1003.1,
2023-08-21,32,28.6,35,1.8,,99,7.8,,1002.3,
2023-08-22,29.3,24.6,31,53.1,,57,5.2,,1002.5,
2023-08-23,29.1,26.6,30,7.1,,66,9.7,,1001,
2023-08-24,29,25.6,32,8.9,,262,7.5,,999.3,
2023-08-25,29.2,25.3,31,38.1,,240,7.9,,999.7,
2023-08-26,30.4,25.1,34,39.1,,279,9.7,,999.6,
2023-08-27,31.8,27,35,0.5,,268,14.1,,999.7,
2023-08-28,31.8,26.9,34.4,0,,256,12.2,,1000.5,
2023-08-29,31.4,27.8,35,0,,267,8.8,,1002.6,
2023-08-30,31.9,27.4,36,0,,253,8.8,,1004,
2023-08-31,32.7,28.4,37,0,,264,4.8,,1004.7,
2023-09-01,33.1,28.8,37,0.3,,270,7.4,,1003.9,
2023-09-02,31.5,25.2,37,4.8,,271,7.9,,1002.7,
2023-09-03,31.4,25,37,15.8,,351,3.4,,1001.6,
2023-09-04,29.2,24.8,32,33,,72,6.7,,1001.4,
2023-09-05,30.4,26.8,34,0.5,,69,6.2,,1002,
2023-09-06,30.6,24.7,35,5.1,,51,6.1,,1002.6,
2023-09-07,30.5,26.8,35,0,,81,8.7,,1002.4,
2023-09-08,29,25.9,31,9.9,,97,13.9,,1002.5,
2023-09-09,29.8,25.8,33,5.1,,104,11.6,,1002.6,
2023-09-10,32.3,25.3,36,23.1,,111,7.6,,1001.2,
2023-09-11,33,27.6,36,0,,113,6.7,,1000.3,
2023-09-12,32.5,28.4,36,10.1,,90,6,,1000.6,
2023-09-13,33,28.2,36,0,,94,7.9,,1001,
2023-09-14,31.7,28.6,35,2.2,,86,13,,1002,
2023-09-15,31.1,29,33,3.1,,95,16.3,,1003.4,
2023-09-16,32.2,27.8,34,0,,104,10.6,,1004,
2023-09-17,32.7,28.6,37,0.4,,113,7.1,,1002.9,
2023-09-18,31.7,27,37,10.9,,314,6.5,,1003.2,
2023-09-19,31.4,27,36,4.3,,79,8.3,,1005,
2023-09-20,30.2,26.7,34,3.7,,82,10,,1004.9,
2023-09-21,28.9,27,31,11.4,,74,16.2,,1004.4,
2023-09-22,28.1,25.8,30,1,,81,13.5,,1004.1,
2023-09-23,27.4,25,29,24.9,,95,10.1,,1004.2,
2023-09-24,27.6,24.7,29,63,,80,10,,1004.3,
2023-09-25,28.2,25.1,31,0,,78,7.5,,1005.5,
2023-09-26,29.8,26.2,34,7.8,,70,5.3,,1005.9,
2023-09-27,30.7,27,35,0.2,,337,3.3,,1005.5,
2023-09-28,31.8,27.5,35,0,,326,3.4,,1005.1,
2023-09-29,31.9,27,36,0.7,,1,2.4,,1004.8,
2023-09-30,28.7,24.6,33,18.6,,52,6.5,,1004.8,
2023-10-01,28.9,25.8,32,24.7,,53,7.9,,1003.4,
2023-10-02,29.8,25.3,33,7.9,,70,10.5,,1003.7,
2023-10-03,28.9,25.6,33,3,,79,12,,1004.1,
2023-10-04,28,25.4,30,6.1,,70,11.5,,1004.4,
2023-10-05,27.6,24.6,29,5.1,,66,8.9,,1004.4,
2023-10-06,30,25.2,34,0,,16,3.6,,1005.2,
2023-10-07,30.7,25.1,34,0,,322,2,,1006.5,
2023-10-08,30.9,26.2,34,0,,271,6.1,,1007.3,
2023-10-09,30.7,26,35,0.7,,271,6.9,,1007.7,
2023-10-10,31.3,26.4,35.4,0,,257,7.2,,1008.6,
2023-10-11,29.7,25.8,35,0.2,,263,6.5,,1008.7,
2023-10-12,29.2,24.6,35,0,,284,4.7,,1011,
2023-10-13,29.2,24,35,0,,320,3.1,,1011.6,
2023-10-14,28.4,23.4,33,0,,290,4.6,,1011,
2023-10-15,28.6,24.2,34,0,,297,2.5,,1009.4,
2023-10-16,28.3,24.6,33,1.3,,14,2.8,,1010.6,
2023-10-17,26.9,20.2,31,5.1,,300,8,,1012.5,
2023-10-18,27.4,21.4,32,0,,275,7.9,,1013.1,
2023-10-19,27.5,21.8,33,0,,263,7.8,,1013.3,
2023-10-20,27.2,21.6,33,0,,286,5.6,,1014,
2023-10-21,26.4,20.4,33,0,,338,2.5,,1014.7,
2023-10-22,26.1,19.6,32,0,,8,1.6,,1014.5,
2023-10-23,26,19.6,33,0,,357,2,,1013,
2023-10-24,27.6,22,33,0.1,,329,4.3,,1011.9,
2023-10-25,27.3,22,32,0,,294,6,,1012.7,
2023-10-26,25.9,18.9,31.6,0,,272,4.7,,1012.9,
2023-10-27,26.9,20.8,33,0,,322,3.5,,1012.1,
2023-10-28,26.4,21,33,0,,329,3.4,,1013.1,
2023-10-29,26,19.4,33,0,,339,1.9,,1013.4,
2023-10-30,26,19.6,33,0,,0,1.4,,1013.8,
2023-10-31,26.6,20,34,0,,19,1.1,,1014.8,
2023-11-01,27.3,21,33,0,,18,2.1,,1014.8,
2023-11-02,27.2,21.4,33,0,,283,3.3,,1013.2,
2023-11-03,26.9,21.6,32,0,,348,2.2,,1011.4,
2023-11-04,26.4,21,32,0,,311,4,,1011.5,
2023-11-05,25.8,20,32,0,,305,3.3,,1013.4,
2023-11-06,25.5,19.8,32,0,,320,3.4,,1014.6,
2023-11-07,24.8,19.4,30,0,,288,4.8,,1013.8,
2023-11-08,24.7,19.4,31,0,,263,6.1,,1012.9,
2023-11-09,24.1,19,31,0,,333,1.8,,1013.4,
2023-11-10,24.3,19,31,0,,334,1.7,,1014.8,
2023-11-11,25.2,20,31,0,,356,1.6,,1015.3,
2023-11-12,24.8,19.8,30,0,,337,3.2,,1016.1,
2023-11-13,24.2,18.4,31,0,,337,2.4,,1016.2,
2023-11-14,23.3,17.2,31,0,,334,2.4,,1015.8,
2023-11-15,23.3,17.4,30,0,,353,0.8,,1015.7,
2023-11-16,24.1,18,31,0,,26,2.5,,1016.1,
2023-11-17,25.8,19.4,32,0,,30,3.2,,1015,
2023-11-18,25.1,19.2,32,0,,28,2.7,,1014.8,
2023-11-19,25.2,19.2,32,0,,22,1.7,,1015.9,
2023-11-20,24.4,19.4,30,0,,346,1.6,,1015.6,
2023-11-21,23.6,19.2,29,0,,304,4.9,,1013.8,
2023-11-22,22.2,17,28,0,,301,4,,1013.4,
2023-11-23,21.4,15.4,28,0,,334,1.5,,1013.4,
2023-11-24,20.6,13.8,29,0,,355,0.3,,1014.7,
2023-11-25,20.8,14.8,28,0,,336,1.8,,1016.4,
2023-11-26,21.6,14.8,30,0,,348,1.6,,1017,
2023-11-27,22.3,15.8,30,0,,14,1.4,,1015,
2023-11-28,24.1,17.2,29,0,,328,3.3,,1013.9,
2023-11-29,23.4,18,30,0,,332,2.1,,1014.6,
2023-11-30,22.8,17.4,28,1.2,,330,2.9,,1015.8,
2023-12-01,24.1,19.6,27,0,,298,4.3,,1015.4,
2023-12-02,24,19.8,29,0,,292,3.7,,1015.4,
2023-12-03,23.8,18.6,31,0,,322,2.2,,1015.3,
2023-12-04,23.4,16.4,31,0,,2,2.3,,1013.9,
2023-12-05,23.3,19.6,27,0,,289,4.7,,1013.4,
2023-12-06,23.7,18.7,27,0,,308,3.2,,1015.6,
2023-12-07,21.1,18.4,24,0.3,,321,3.6,,1014.2,
2023-12-08,20.2,15.8,22,7.1,,275,6,,1013.8,
2023-12-09,21.1,15.1,26,0,,275,6.1,,1014.4,
2023-12-10,19.2,13.6,25,0,,286,7.4,,1013.3,
2023-12-11,17.9,11.6,26,0,,326,2.2,,1015.1,
2023-12-12,17.6,11.4,25,0,,332,2.2,,1013.6,
2023-12-13,17.4,11.2,24,0,,290,5.7,,1014.5,
2023-12-14,17.6,12,24,0,,296,3.6,,1016.6,
2023-12-15,17.5,11.4,25,0,,337,2.4,,1017.5,
2023-12-16,17,10.8,25,0,,319,4,,1016,
2023-12-17,16.8,10.2,25,0,,328,2.7,,1016.4,
2023-12-18,17,10.4,25,0,,282,5.7,,1017.3,
2023-12-19,17.1,10.6,24,0,,321,2.5,,1018.1,
2023-12-20,17.2,12,24.2,0,,295,5.3,,1017.8,
2023-12-21,17.1,10.4,25,0,,320,3.1,,1016.4,
2023-12-22,18.2,10.6,26,1,,355,0.9,,1016.5,
2023-12-23,19.6,13,26.2,0,,21,2,,1018.1,
2023-12-24,20.3,13.2,28,0,,4,0.9,,1018.9,
2023-12-25,20.3,13,28,0,,314,4.2,,1017.7,
2023-12-26,19.9,13.6,26,0,,310,3.2,,1018.1,
2023-12-27,19.4,14,26,0,,339,1.7,,1018.6,
2023-12-28,19.2,13.8,25.2,0,,342,1.3,,1017.5,
2023-12-29,16.7,14,19,0,,304,5.4,,1018.5,
2023-12-30,15.7,13.4,17,0,,282,6.6,,1018.3,
2023-12-31,13.7,11.8,15,0,,298,4.6,,1018.3,
