date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,14.2,9.8,19,0,,283,5.2,,1017.8,
2024-01-02,15.7,9,23,0,,341,1.6,,1016.7,
2024-01-03,16.1,11.6,22,0,,342,1.7,,1016.4,
2024-01-04,17.6,12.2,24,0,,342,1.7,,1016,
2024-01-05,18,12.8,22,0,,335,4.3,,1016.7,
2024-01-06,19.3,15.6,23,0.5,,308,4.3,,1017.5,
2024-01-07,18.7,14.4,22,0,,280,5.5,,1018.6,
2024-01-08,17.5,13.8,22,0,,296,4.3,,1018.5,
2024-01-09,17.1,12,24,0,,311,3,,1017.2,
2024-01-10,18.4,13.2,23,0,,305,6.5,,1015.4,
2024-01-11,15.4,11.6,20,0,,285,7.3,,1018,
2024-01-12,12.4,9.4,17,0,,297,4,,1017.6,
2024-01-13,11.5,8,15,0,,287,5.4,,1017.1,
2024-01-14,12.4,9.6,16,0,,312,4,,1016.7,
2024-01-15,13.4,7.5,19,0,,294,4.7,,1016.3,
2024-01-16,12.6,11,14,0,,343,3.1,,1015.6,
2024-01-17,13,10.8,15,0,,47,3.1,,1015.4,
2024-01-18,13.6,10.8,15,0,,345,4,,1016.3,
2024-01-19,14.4,10,18.2,0,,312,4.3,,1018.3,
2024-01-20,13.5,9.6,19,0,,300,5.3,,1017.8,
2024-01-21,12.3,7.6,15,0,,287,6.2,,1017.5,
2024-01-22,12.4,6.6,19,0,,334,2.5,,1019.6,
2024-01-23,11.4,7.8,15,0,,283,5.6,,1017.8,
2024-01-24,12.2,9.8,15,0,,318,4.2,,1018.1,
2024-01-25,13.4,10,19,0,,299,4.8,,1020.2,
2024-01-26,13.2,7,20,0,,320,3.2,,1020.6,
2024-01-27,14.3,9,22,0,,313,5.4,,1019.9,
2024-01-28,14.9,8,23,0,,6,2.6,,1019.1,
2024-01-29,15.4,9.4,23,0,,0,1.8,,1017.4,
2024-01-30,16.6,10,24,0,,5,1.7,,1016.3,
2024-01-31,17.5,11.2,25,0,,337,1.7,,1016.1,
2024-02-01,18.5,11,27,0,,32,3,,1016,
2024-02-02,19.3,12.4,25.8,0,,305,5.8,,1014.8,
2024-02-03,19,13.6,25,0,,270,10.7,,1015.3,
2024-02-04,18.9,10.8,26,0.1,,322,4.6,,1017,
2024-02-05,19.1,12.8,22,2,,265,5.5,,1017,
2024-02-06,18.3,14.8,22,2,,284,7.2,,1017,
2024-02-07,18.1,11.6,23.2,0,,270,11.9,,1016.8,
