date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,20.3,14,27.8,0,,58,4.5,,1017.9,
2022-01-02,20.8,15.8,27.4,0.2,,62,3.8,,1016.4,
2022-01-03,20.9,15,28.8,0,,60,4,,1015.5,
2022-01-04,20.8,15.5,27.4,0,,69,4,,1015.5,
2022-01-05,20.6,14.6,30.2,0,,201,3.1,,1014.8,
2022-01-06,20.7,14.8,28.8,0,,281,3.5,,1013.8,
2022-01-07,20.4,15.2,28.6,0,,251,5.3,,1013.5,
2022-01-08,20,13.9,30,0,,256,4.6,,1014.1,
2022-01-09,20.7,14.6,27,0,,305,4,,1013.7,
2022-01-10,18.2,12,27.5,0,,313,3.9,,1013.9,
2022-01-11,17.6,12.6,26.4,0,,294,4.3,,1014,
2022-01-12,17.3,12.1,24.6,0,,8,4.2,,1013.8,
2022-01-13,17.6,11.4,25,0.3,,340,4.4,,1013.1,
2022-01-14,18.3,13.3,25.6,0,,330,2.6,,1013.1,
2022-01-15,18.6,12.8,25.8,0,,42,5.1,,1014.2,
2022-01-16,19.1,12.8,26.5,0,,95,5.5,,1015.5,
2022-01-17,20.3,15.2,26.6,0.3,,46,4.4,,1017.1,
2022-01-18,20.7,14.4,28.5,0,,23,3.4,,1016.3,
2022-01-19,20.8,13.6,30,0,,29,2.7,,1014.9,
2022-01-20,20.5,13,31.2,0,,285,5.5,,1012.4,
2022-01-21,20.4,11.8,31,0,,283,5.5,,1012.2,
2022-01-22,19.8,14.4,25.6,0.1,,269,10.7,,1010.8,
2022-01-23,18.5,12.3,22.8,0.5,,277,10,,1011.1,
2022-01-24,16,8.8,23.8,0,,323,4.1,,1012.3,
2022-01-25,16.4,9.7,24.8,0,,10,4.1,,1012.5,
2022-01-26,17.5,10.2,25.4,0,,34,4.8,,1013.5,
2022-01-27,17.9,11.1,25.9,0,,50,5.9,,1014,
2022-01-28,18,10.8,26.2,0,,66,5.8,,1015,
2022-01-29,18.4,10,27.6,0,,65,5,,1015.8,
2022-01-30,19.9,10.4,30.1,0,,348,3.3,,1014.1,
2022-01-31,20.6,12,31.8,0,,298,4,,1013.5,
2022-02-01,20.8,11.2,31.8,0,,329,3.4,,1012,
2022-02-02,21.6,11.6,31.8,0,,293,3.7,,1012,
2022-02-03,20.2,12.2,29.9,0,,266,8.4,,1011.2,
2022-02-04,19,13.2,27.4,0,,284,5.2,,1011.3,
2022-02-05,19.8,11.4,29,0,,343,3.4,,1011.8,
2022-02-06,20.8,12.3,30.2,0,,340,4.9,,1013.8,
2022-02-07,21.4,14,31.6,0,,283,4.2,,1014.3,
2022-02-08,20.9,14.1,31.6,0,,274,5.4,,1013.2,
2022-02-09,19.6,13.1,28.8,0,,288,5.4,,1013,
2022-02-10,20.6,13.4,28.8,0,,53,5.1,,1013.5,
2022-02-11,20.9,13.4,28.9,0,,61,6.4,,1013.7,
2022-02-12,21.3,13.2,29.5,0,,31,4.9,,1013,
2022-02-13,22.1,14.2,30.8,0,,45,4.2,,1011.2,
2022-02-14,21.8,14.6,30.6,0,,286,5.5,,1011,
2022-02-15,21.3,12.8,30.4,0,,303,5.2,,1011.2,
2022-02-16,20.9,13.5,30,0,,279,5,,1009.5,
2022-02-17,21.6,13.7,30.6,0,,249,5.4,,1008.2,
2022-02-18,22.4,14.6,32,0,,253,4.1,,1009.5,
2022-02-19,23.7,15.6,32.1,0,,286,4.5,,1011.7,
2022-02-20,23.5,13.8,33.4,0,,289,5.4,,1011.3,
2022-02-21,23,12.2,33.4,0,,323,3.7,,1010.6,
2022-02-22,24.4,13.6,34,0,,16,3.3,,1011.5,
2022-02-23,24.8,15.8,34.4,0,,298,3.8,,1013.3,
2022-02-24,25.3,17.4,34,0,,316,4.8,,1014.3,
2022-02-25,24.9,16.8,33.4,0,,351,4.2,,1013.8,
2022-02-26,25,15.4,33.2,0,,347,4.8,,1013.3,
2022-02-27,24.8,17.6,33.8,0,,338,4.6,,1013.9,
2022-02-28,24.6,15,32.8,0,,334,6.1,,1013.5,
2022-03-01,24.9,15.6,33.6,0,,354,4.2,,1013.4,
2022-03-02,25.1,16,34,0,,48,4.7,,1012.9,
2022-03-03,25.7,18.6,34.8,0,,357,4.9,,1012.3,
2022-03-04,25.8,17.6,34.2,0,,350,5.1,,1012.7,
2022-03-05,25.7,16.8,34.2,0,,8,4.4,,1012,
2022-03-06,25.9,17,33.4,0,,355,4.3,,1011,
2022-03-07,26.3,17.6,33,0,,204,4.3,,1011,
2022-03-08,26.7,19.8,33.5,0,,17,5.2,,1011.3,
2022-03-09,25.7,19.7,33.1,0,,42,5.4,,1011.8,
2022-03-10,25.1,18.6,32.4,0,,73,4.1,,1011.6,
2022-03-11,25.4,18.4,33.2,1.1,,59,3.9,,1011.5,
2022-03-12,25.7,18.2,32.8,0,,35,3.1,,1011.3,
2022-03-13,26.3,17.2,34.4,0,,42,5,,1011.2,
2022-03-14,26.6,16,35,0,,25,5.5,,1011.6,
2022-03-15,27.4,15.8,36,0,,31,5.3,,1010,
2022-03-16,28.1,17,37,0,,3,4.6,,1008.9,
2022-03-17,28.9,18,37.6,0,,33,5.1,,1007.8,
2022-03-18,29.1,18.2,38.4,0,,320,4.9,,1006.8,
2022-03-19,28.5,20,38,0,,302,6.2,,1006.4,
2022-03-20,27.6,20.9,36.4,0,,285,6.6,,1007.1,
2022-03-21,27.3,20.2,35.8,0,,315,5.5,,1008.2,
2022-03-22,29,20.8,37.3,0,,5,5.4,,1007.9,
2022-03-23,29,19.2,36.9,0,,29,5.7,,1007.4,
2022-03-24,28.6,23.8,37,0,,304,6.1,,1007.5,
2022-03-25,27.3,20.9,36,0,,273,5.8,,1009.1,
2022-03-26,28.8,23.2,37.3,0,,277,5.7,,1010.7,
2022-03-27,29.1,20.3,37.9,0,,336,5.1,,1010.7,
2022-03-28,29.7,21,38.8,0,,325,5.5,,1010.1,
2022-03-29,30.2,20.8,39.2,0,,319,6.4,,1008.8,
2022-03-30,29.7,19,38.6,0,,291,6.7,,1008.7,
2022-03-31,28.4,17.2,38.2,0,,291,7.7,,1009.4,
2022-04-01,28.2,15.6,39,0,,290,5,,1009.2,
2022-04-02,28.5,16.8,39.4,0,,311,6.1,,1009.8,
2022-04-03,29,19.9,38.6,0,,326,6.1,,1009.3,
2022-04-04,29.1,21,39.1,0,,306,5.7,,1009.6,
2022-04-05,30.4,21.3,39.3,0,,289,6.8,,1011.2,
2022-04-06,29.9,22.6,40,0,,296,6.7,,1011.6,
2022-04-07,29.9,20.9,39.7,0,,266,6.1,,1010.3,
2022-04-08,30,21.2,39,0,,262,6.1,,1008.8,
2022-04-09,29.5,21.6,39.1,0,,280,8,,1008.5,
2022-04-10,29.3,21.4,38,0,,279,8.5,,1008.4,
2022-04-11,29.6,21.2,38.5,0,,275,6.1,,1007.6,
2022-04-12,30.1,21.7,38.2,0,,283,4.7,,1006.6,
2022-04-13,30.7,22.2,38.5,0,,300,4.5,,1006,
2022-04-14,30.1,22,38.6,0,,283,7.7,,1006.5,
2022-04-15,28.8,21,37.2,0,,272,8.3,,1007.4,
2022-04-16,30.2,20.2,39.4,0,,291,6.6,,1006.5,
2022-04-17,29.9,21.9,39.2,0,,270,7.2,,1007.2,
2022-04-18,29.8,22.5,38.8,0,,278,8.1,,1009.4,
2022-04-19,30.1,21.6,37.7,0,,300,7.1,,1010.5,
2022-04-20,31.4,24.2,39.6,0,,296,5.9,,1008.5,
2022-04-21,28.7,23.8,37.6,0,,329,4.8,,1007.3,
2022-04-22,30.9,21.7,39.4,0,,69,5.2,,1008.1,
2022-04-23,30.7,21.6,38.8,0,,278,4.8,,1008.9,
2022-04-24,29.6,23.5,37.1,0,,295,6.1,,1008.7,
2022-04-25,31.1,21.7,39.1,0,,279,5,,1007.4,
2022-04-26,31.6,23.3,40.1,0,,309,4.7,,1007.6,
2022-04-27,31.8,21.1,41.3,0,,12,4.4,,1006.6,
2022-04-28,32.3,21.3,41.8,0,,284,5.5,,1007.3,
2022-04-29,31.8,25.4,40.7,0,,284,8.2,,1008.7,
2022-04-30,30.7,21.6,38.6,0,,285,8.1,,1007.3,
2022-05-01,30.3,21.6,38.4,0,,284,9.7,,1006.3,
2022-05-02,29.7,22.6,37.9,0,,271,10.1,,1006.7,
2022-05-03,29.3,20.7,37.8,0,,279,9,,1007.5,
2022-05-04,30.2,22,38.4,0,,293,6.6,,1008.2,
2022-05-05,30.4,22.1,39.6,0,,294,7.1,,1007.7,
2022-05-06,30.3,19.9,39.3,0,,287,7,,1007.3,
2022-05-07,30.6,20.4,39.6,0,,288,8.3,,1006.7,
2022-05-08,31.4,21.4,40.7,0,,293,7.7,,1004.9,
2022-05-09,30.9,26.1,38.6,0,,272,10.9,,1003.9,
2022-05-10,29.9,25.7,37.7,0.2,,278,12.6,,1003.9,
2022-05-11,28.4,23.1,35.4,0.2,,268,11.3,,1003.7,
2022-05-12,28.2,25.6,33.7,0,,266,13,,1005.1,
2022-05-13,29.3,23.7,36.7,0,,266,12.3,,1004.8,
2022-05-14,29.3,24.1,37.1,0,,269,11.8,,1005.1,
2022-05-15,29.8,23.2,37.6,0,,274,11.2,,1006.1,
2022-05-16,31.4,24.2,40.8,0,,289,8.8,,1005.3,
2022-05-17,30,24.3,38.1,0,,278,9.4,,1004.7,
2022-05-18,29.8,22.9,38.1,0,,276,8.7,,1004.7,
2022-05-19,29.3,24.6,38,0.1,,281,8.2,,1005.5,
2022-05-20,27.3,24.3,32.6,0.8,,266,12.9,,1006.5,
2022-05-21,28.4,24.3,34.6,0,,262,16,,1006.4,
2022-05-22,28.7,24.2,34.6,0,,261,17.2,,1004.6,
2022-05-23,28.7,24.9,34.7,0,,266,18.6,,1004,
2022-05-24,29,24.9,35.2,0,,266,13.8,,1006.7,
2022-05-25,29,22.5,36.2,0,,273,10.6,,1008.6,
2022-05-26,29.5,23.1,36.1,,,,,,,
2022-05-27,28.5,22.9,35.1,,,,,,,
2022-05-28,28.1,23,34.4,0,,268,12.2,,1007.5,
2022-05-29,28.3,23.2,34.9,0,,268,13.7,,1007.5,
2022-05-30,28.5,23,35.6,0,,272,11.4,,1007,
2022-05-31,29.3,23.4,37.2,0.5,,277,12.2,,1006,
2022-06-01,28.4,24.8,34.6,0,,281,9.7,,1006.4,
2022-06-02,29.2,24.3,35.7,1.8,,275,11.4,,1006.5,
2022-06-03,29.3,23.6,36.9,0.5,,275,10.8,,1006.2,
2022-06-04,29.8,23.8,36.7,0.3,,277,9.1,,1005.9,
2022-06-05,30.3,23.2,38.4,0.4,,274,9.6,,1005.7,
2022-06-06,28.9,24.8,35.1,12.3,,261,8,,1006.8,
2022-06-07,28.8,24.8,34.4,0,,271,9.6,,1006.7,
2022-06-08,29.1,24.8,35.6,2.1,,268,10.2,,1006.6,
2022-06-09,27.3,23.1,35.3,0,,273,6.7,,1005.6,
2022-06-10,27.3,22.8,36,0.3,,255,5.6,,1005.6,
2022-06-11,26.3,23.8,31.5,25.9,,248,9.8,,1006.4,
2022-06-12,27.6,23.6,32.9,2,,231,10.1,,1006.4,
2022-06-13,28.4,23.7,34.5,0,,238,9.9,,1007.5,
2022-06-14,27.9,23.5,34.3,0.6,,250,9.6,,1007.6,
2022-06-15,28.5,23,34.5,1,,257,11.3,,1006.7,
2022-06-16,28.1,23.5,34.4,1.5,,256,10.3,,1006.5,
2022-06-17,27.8,23.7,33,0,,252,9.9,,1006,
2022-06-18,27.8,23.9,34.2,0,,250,10.1,,1006.1,
2022-06-19,27.2,23.4,32.3,0,,249,11.4,,1006.8,
2022-06-20,25.1,23.7,28.1,8,,250,11.6,,1005.8,
2022-06-21,25.7,22.6,29.3,0.7,,244,10.9,,1004.1,
2022-06-22,26.3,22.9,31.8,5.7,,248,6,,1004.9,
2022-06-23,25.6,22.7,30.6,2,,288,3.5,,1006,
2022-06-24,26.1,22.6,30.9,2,,227,5.9,,1004.6,
2022-06-25,26.8,23.6,31.8,0.5,,219,7.9,,1002.3,
2022-06-26,26.7,24.3,31.4,0,,216,8.3,,1002.4,
2022-06-27,24.9,22.1,29.1,0,,243,10.6,,1004.7,
2022-06-28,25,22.5,29.5,1,,253,10.1,,1005.8,
2022-06-29,27,23.2,32.7,0.3,,250,10.4,,1004.5,
2022-06-30,25.8,22,31.4,0,,253,11.9,,1004.2,
2022-07-01,24.9,21.8,27.7,7.9,,257,11.6,,1005,
2022-07-02,24.7,22.8,29.1,5.1,,251,12.5,,1003.8,
2022-07-03,25.3,22.7,30.4,3,,252,11.5,,1003.6,
2022-07-04,24.2,21.9,30,3,,248,11.6,,1003.5,
2022-07-05,24.3,21.9,28.1,7.9,,260,12.5,,1001.9,
2022-07-06,23.8,22.1,25.8,20.1,,255,11.4,,1003.4,
2022-07-07,23.6,22.1,25.6,16,,257,12.6,,1006.3,
2022-07-08,24,22.3,27.2,14,,263,12.7,,1005.6,
2022-07-09,23.4,22.2,26.3,10.9,,263,12.7,,1004.2,
2022-07-10,23.6,22.2,25.9,20.1,,262,13.3,,1005.1,
2022-07-11,23,21.8,25.9,0,,263,14,,1006.4,
2022-07-12,22.8,21.2,24.2,46,,263,15,,1005.9,
2022-07-13,22.4,20.2,23.1,49,,268,16.1,,1003,
2022-07-14,23.4,21.3,25.8,54.1,,260,15.7,,1000.2,
2022-07-15,23.7,21.4,25.6,15,,254,14.6,,1001.1,
2022-07-16,24.6,21.8,27.5,0,,246,13.4,,1002.3,
2022-07-17,24.1,22.2,27.6,7.8,,265,11.8,,1005.1,
2022-07-18,23.6,22.4,24.9,2,,260,11.9,,1005.9,
2022-07-19,24.3,21.9,28.6,0,,262,11.7,,1006.6,
2022-07-20,24.4,21.5,28.1,0.3,,265,11,,1007.6,
2022-07-21,24.4,21.7,28.6,0,,270,10.5,,1007.9,
2022-07-22,25,21.9,28.8,0,,269,10.6,,1008.3,
2022-07-23,23.7,21.5,27.1,0,,259,12.5,,1006.7,
2022-07-24,23.8,21.3,25.9,5.1,,259,10.8,,1006.1,
2022-07-25,24.6,21.9,28.6,1,,259,9.3,,1007.6,
2022-07-26,24.1,21.9,26.8,4.1,,261,7.6,,1009.1,
2022-07-27,24.3,21.6,31.3,1,,288,4.7,,1009.1,
2022-07-28,26.8,21.4,32.4,50,,311,3,,1009.5,
2022-07-29,25.7,23.4,31.5,3,,326,3.4,,1009.2,
2022-07-30,26.2,23.1,31.2,0,,291,5,,1008.3,
2022-07-31,24.6,20.7,31.6,0.6,,275,7.3,,1006.8,
2022-08-01,25.8,21.9,31.2,1.1,,272,8.7,,1006.8,
2022-08-02,25.8,21.9,30.7,0.8,,286,7.8,,1005.8,
2022-08-03,26.4,22,32.1,2.6,,285,5.6,,1005,
2022-08-04,26.2,21.5,32.3,4.1,,302,3.5,,1004,
2022-08-05,24.3,22.6,31.1,7.9,,267,4.8,,1002.7,
2022-08-06,24.8,21.2,29.6,16,,256,7.7,,1001.7,
2022-08-07,24,22.2,30.9,1,,261,8.7,,1001.2,
2022-08-08,23.7,21.6,26.6,37.1,,269,9.6,,1000.2,
2022-08-09,23.1,21.7,25.2,14,,258,14.6,,999.4,
2022-08-10,23.8,21.4,26.7,23.1,,252,18.1,,999.1,
2022-08-11,23.9,22,27.6,16,,249,18.7,,1000.3,
2022-08-12,23.9,22.4,26.8,4.1,,248,17.8,,1003.5,
2022-08-13,24.1,21.7,27.7,6.1,,257,14.7,,1005.5,
2022-08-14,23.9,21.9,27.5,2,,262,14,,1007,
2022-08-15,23.3,21.9,26.8,2,,259,13.2,,1007.2,
2022-08-16,23.5,20.7,25.8,0,,246,15.2,,1006.7,
2022-08-17,24.1,21.8,28.2,1,,245,12.9,,1007.9,
2022-08-18,24,21.7,28.8,1,,260,12.9,,1008.1,
2022-08-19,24,21.5,27.6,3,,262,12.2,,1008.5,
2022-08-20,23.8,21.7,27.8,0.5,,269,12.1,,1008,
2022-08-21,24.4,21.6,28.4,0.5,,269,13.5,,1007,
2022-08-22,24,21.7,28.1,0.5,,263,14.8,,1005.6,
2022-08-23,24.3,22.4,28.3,2,,265,13.2,,1006,
2022-08-24,24,22,27.5,1,,272,10.6,,1008.6,
2022-08-25,24.8,21.7,29.2,2,,258,9,,1008.6,
2022-08-26,24.8,21,30.8,0,,265,7.9,,1008.3,
2022-08-27,24.5,19.8,29.6,0.5,,285,7,,1008.5,
2022-08-28,24.9,19.5,30.5,0.3,,291,6.5,,1008.4,
2022-08-29,25.3,20.6,30.3,0,,296,5,,1009.3,
2022-08-30,26.5,21.7,32.6,7.4,,316,3.2,,1009.3,
2022-08-31,24.9,21.4,34.6,10.9,,17,3.4,,1008.2,
2022-09-01,26,20.8,32.6,13,,11,2.9,,1007.7,
2022-09-02,26.8,22.4,33.1,0.3,,72,4.1,,1008.3,
2022-09-03,26.9,22.4,34.4,0,,258,3.6,,1008.4,
2022-09-04,26.3,23.2,31.8,8.9,,274,5.8,,1008.6,
2022-09-05,26.2,22.6,31.6,0,,289,5.2,,1008.6,
2022-09-06,25.7,22,32.4,0,,309,4.1,,1008.2,
2022-09-07,24.1,22.4,29.6,18,,328,3.5,,1007.9,
2022-09-08,25.4,21.6,30,48,,356,2.6,,1006.8,
2022-09-09,26.6,22.6,31.9,1,,63,3.5,,1005.5,
2022-09-10,26.8,23.4,31.2,0,,17,2.8,,1005.5,
2022-09-11,25.4,23,32.9,0,,4,3.6,,1003.3,
2022-09-12,25.4,21.9,30.5,39.1,,279,5.6,,1002.2,
2022-09-13,23.6,22.2,26.2,7.1,,257,11.5,,1004.4,
2022-09-14,23.6,21.8,27.4,8.9,,243,14.4,,1007.5,
2022-09-15,24.6,21.7,29.6,4.1,,248,14.1,,1008.5,
2022-09-16,22.7,21.9,24.1,15,,261,12.1,,1007.5,
2022-09-17,23.8,20.7,29.7,0,,255,8.6,,1008.1,
2022-09-18,23.3,21.1,27.8,1,,258,9.6,,1009.6,
2022-09-19,23.2,20.3,26.6,0.8,,274,9.5,,1010.1,
2022-09-20,22.3,20.5,24.8,5.1,,276,8.2,,1009.8,
2022-09-21,23.1,19.7,26.7,0,,274,8.3,,1009.7,
2022-09-22,23.7,20.8,28.7,0,,263,9.3,,1010,
2022-09-23,22.4,19.6,27,0.7,,253,9.1,,1010.3,
2022-09-24,22.8,20.5,28.7,1.8,,259,8.4,,1009.6,
2022-09-25,23.3,20.7,28,1.6,,278,5.9,,1009.3,
2022-09-26,22.9,20.2,27.5,2.7,,283,5.1,,1011,
2022-09-27,24.5,21.8,30.4,0.3,,286,4.4,,1009.7,
2022-09-28,24.6,21.6,28.8,0.3,,284,5.1,,1008.7,
2022-09-29,24.6,19.7,31.3,0.5,,311,4,,1008.5,
