date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,4.3,-0.7,11.6,0,,61,5.3,,1018.2,
2024-01-02,3.9,-0.9,14.2,0,,69,4.9,,1017.2,
2024-01-03,3.7,-1.3,13.9,0,,73,5.1,,1017.2,
2024-01-04,3.4,-1.2,12,0,,63,4.5,,1017.4,
2024-01-05,3.7,-1.1,12.8,0,,58,4.7,,1017.5,
2024-01-06,4.3,-1.5,13.2,0,,48,5,,1019,
2024-01-07,3.8,-1.2,14,0,,78,5.3,,1019.6,
2024-01-08,4.2,-0.7,12.8,0,,104,4.9,,1019.5,
2024-01-09,3.2,-1.4,12,0.8,,84,5.7,,1019.5,
2024-01-10,11.1,3.5,15,0,,31,6.4,,1017.3,
2024-01-11,5.7,-1.5,15.4,0,,38,6.1,,1017.1,
2024-01-12,8.4,0.1,17.5,0,,28,6.3,,1015.8,
2024-01-13,9.5,3.4,16.4,0,,49,4.9,,1016,
2024-01-14,6.6,1.5,15.6,0,,62,5.1,,1016.2,
2024-01-15,5.7,-1.1,15.8,0,,51,4.8,,1015.5,
2024-01-16,5,-1.4,14.2,0,,95,5,,1014.4,
2024-01-17,3.2,-2.1,11.4,0,,77,4.8,,1015.5,
2024-01-18,3,-1.9,12.4,0,,32,5.7,,1017.1,
2024-01-19,3.2,-1.9,13,0,,29,5.7,,1017.5,
2024-01-20,3.3,-2.2,10.4,0,,24,6.1,,1018.1,
2024-01-21,3.6,-0.6,11.6,0,,26,5.5,,1016.4,
2024-01-22,4.5,-1.4,13.6,0,,108,5.3,,1017.2,
2024-01-23,3,-2.4,11,0,,38,6.1,,1017.9,
2024-01-24,3,-2,12.4,0,,45,5.4,,1017.8,
2024-01-25,2.7,-2.5,11,0,,60,5.9,,1019.9,
2024-01-26,3.5,-2.1,10.8,0,,40,5.8,,1021.4,
2024-01-27,3.4,-2.4,11.6,0,,32,7.2,,1019.8,
2024-01-28,6.4,0.7,14.6,0,,76,5,,1018.4,
2024-01-29,3.9,-1.9,10,0,,45,5.7,,1019.3,
2024-01-30,4.5,-1.3,13,0,,27,5.6,,1017.2,
2024-01-31,2.4,-0.8,6.2,17.9,,99,8.3,,1017.5,
2024-02-01,2.8,1.8,7,16,,104,10.5,,1017.2,
2024-02-02,4.5,-0.6,7.6,15,,47,7,,1020.3,
2024-02-03,5.8,1.2,7.9,0,,58,5.9,,1018.7,
2024-02-04,4.7,3,7.4,5.1,,88,7.4,,1017.3,
2024-02-05,4.8,-0.1,7.6,27.9,,108,6.3,,1018.7,
2024-02-06,5.6,0.8,8.5,7.1,,67,5.6,,1019.7,
2024-02-07,5.7,0.3,8.5,0,,37,6.7,,1020,
2024-02-08,1.1,-5.3,14.4,0,,31,8.5,,1017.7,
2024-02-09,4,-2.8,15,0,,50,5.9,,1018.1,
2024-02-10,4.5,-0.9,13.4,0,,35,5.3,,1021.8,
2024-02-11,5,-1.6,15,0.3,,51,5.9,,1021.8,
2024-02-12,5.5,-0.4,14.6,0,,50,6,,1021.2,
2024-02-13,6.3,1.6,14,0,,40,5,,1020.5,
2024-02-14,5.8,-0.3,15.2,0,,36,6.4,,1019.8,
2024-02-15,5.6,-0.9,15.4,0,,33,6.4,,1020.4,
2024-02-16,6.7,0.8,16,0,,37,5.8,,1020.8,
2024-02-17,6.6,1,15.8,0,,24,7.1,,1015.8,
2024-02-18,7.4,2.5,12.2,0,,67,5.3,,1014.3,
2024-02-19,7.6,5.3,13.2,19.7,,119,17.4,,1012.6,
2024-02-20,10.3,3.9,15,14,,119,12.1,,1013.2,
2024-02-21,2.1,-3.7,10.4,1.5,,95,8.2,,1013.2,
2024-02-22,1.9,-4.7,11.4,2.3,,61,6.6,,1014.8,
2024-02-23,1.3,-4,10.6,0.3,,65,6.7,,1016.6,
2024-02-24,0.2,-4.2,7.6,2.6,,75,6.5,,1018.1,
2024-02-25,1.2,-5.6,10.4,0,,49,6.3,,1020.5,
2024-02-26,4.7,-1.5,14,0.2,,53,6,,1020,
2024-02-27,3.9,0.1,7.4,2.5,,50,4.3,,1019.6,
2024-02-28,4.2,-2.8,14,0,,25,7.4,,1017,
2024-02-29,6.5,-0.3,16.8,0,,29,6.5,,1015.9,
2024-03-01,5.7,3.1,11.5,20.5,,76,8.8,,1018,
2024-03-02,5.7,3.4,11,33.6,,105,16.5,,1013.4,
2024-03-03,6.7,4,11.5,35.1,,124,9.8,,1013.3,
2024-03-04,1.5,-4.1,8.6,0.8,,82,7.1,,1017.3,
2024-03-05,4.2,-2.2,11,0,,66,4.8,,1017.3,
2024-03-06,5.6,-0.2,15.2,0.6,,75,4.9,,1015.2,
2024-03-07,4.4,0.3,12.2,3,,61,5.1,,1016.4,
2024-03-08,5.4,-0.1,14.6,0.4,,41,6.2,,1017,
2024-03-09,6.9,0.2,17,0,,36,6.2,,1016.2,
2024-03-10,9.2,1.7,19,0,,58,6.2,,1016.3,
2024-03-11,8.3,4.1,16,4,,72,6.6,,1019.5,
2024-03-12,13.9,7.2,17.4,0.5,,41,6.5,,1017.7,
2024-03-13,5.6,0.6,11.6,16.4,,95,7.5,,1015.4,
2024-03-14,12.5,5.2,16.2,1,,39,7.2,,1018.3,
2024-03-15,14.8,7.4,19,0,,42,7,,1015.7,
2024-03-16,8.6,3.2,19.2,0.6,,62,6.5,,1018.2,
2024-03-17,9.4,2.4,18.4,0,,30,6.4,,1017.8,
2024-03-18,9.7,4.3,18,0.4,,47,6.5,,1015.9,
2024-03-19,8.9,3,17,1,,54,6.1,,1016.2,
2024-03-20,18.2,8.6,22,0,,30,7,,1017,
2024-03-21,9.6,4.9,17.4,1.4,,34,6.1,,1016.2,
2024-03-22,10.8,5.6,19.4,3.9,,23,6.8,,1014,
2024-03-23,10.4,3.8,18,0,,17,8.3,,1012.2,
2024-03-24,9.3,5.2,16.6,4.8,,60,7.1,,1015,
2024-03-25,16.7,9.6,19.1,0.5,,15,7.7,,1015.8,
2024-03-26,11.8,5.3,17.9,0,,1,8.5,,1014.8,
