date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,14.2,9.5,21.5,0,,304,5.5,,1019.8,
2023-01-02,14,9.1,20.8,0,,299,4.7,,1020.6,
2023-01-03,13.5,8.5,20.2,0,,324,4.1,,1020.9,
2023-01-04,12.3,8,19,0,,294,6.2,,1021.4,
2023-01-05,11.4,6.5,18.2,0,,294,6.9,,1022.4,
2023-01-06,11.1,7.1,17.6,0.8,,277,8,,1023.1,
2023-01-07,11,7.2,18.2,0,,265,8.4,,1021.2,
2023-01-08,11.5,6.6,18.5,0,,271,7.1,,1019.5,
2023-01-09,12,7,20.2,0,,277,6.9,,1019.9,
2023-01-10,13,8.1,20.6,0,,269,8,,1018.2,
2023-01-11,13.9,9,21.8,0,,293,7.5,,1015.6,
2023-01-12,13.8,8.9,21.7,0,,57,5.5,,1013.7,
2023-01-13,16.4,10.2,25.2,0,,93,6.3,,1013.4,
2023-01-14,17.3,12.1,24.5,0,,285,8.4,,1013.8,
2023-01-15,15,10.3,20.2,0,,280,10.7,,1014.7,
2023-01-16,11.6,7,18.4,0,,292,8.4,,1016.4,
2023-01-17,11.5,6.1,18.4,0,,282,8,,1016.9,
2023-01-18,12,6.5,19.2,0,,286,8,,1018.9,
2023-01-19,12.8,6.2,19.6,0,,294,5.9,,1019.1,
2023-01-20,14.9,8.6,21.8,0.2,,80,6.2,,1017.3,
2023-01-21,17.4,13.1,24,6.2,,44,6.3,,1015.7,
2023-01-22,17.7,13.4,24.1,5.3,,52,10.9,,1015.5,
2023-01-23,18.3,12.6,25.2,0,,44,6.4,,1014.7,
2023-01-24,19.8,14,27.4,0,,80,8.4,,1014.4,
2023-01-25,20.1,14.7,27.5,0,,65,7.7,,1013.9,
2023-01-26,19.7,16.3,25,7.4,,293,9.4,,1015.4,
2023-01-27,19.2,15.6,24,0,,277,12.2,,1015.9,
2023-01-28,16.1,11.5,24.4,0,,270,9.9,,1015.2,
2023-01-29,15.8,9.4,22.7,0,,71,6.3,,1015,
2023-01-30,17.5,11,25.8,0,,52,7.9,,1016,
2023-01-31,18.7,13.7,24.9,0,,274,12.6,,1015.7,
2023-02-01,17,13.2,23,0,,269,14.3,,1015.9,
2023-02-02,16.2,11.3,22.4,0,,264,10.3,,1016.1,
2023-02-03,16.9,11,23.9,0,,266,10.5,,1015.5,
2023-02-04,17.7,11.8,24.3,0,,267,10.8,,1013.6,
2023-02-05,18.2,12.5,25.6,0,,269,10,,1012.7,
2023-02-06,18.4,11.3,26.4,0,,281,9.2,,1012.4,
2023-02-07,20.3,13.1,28.2,0,,261,12.1,,1010.2,
2023-02-08,19.1,14,25.6,0,,278,11.9,,1012.7,
2023-02-09,18,11.8,26,0,,275,9.5,,1013.6,
2023-02-10,20.2,13.1,29.4,0,,257,7.1,,1012.8,
2023-02-11,21.9,14.7,30,0,,250,10.7,,1011.8,
2023-02-12,20.8,15.8,26.8,0,,274,16.7,,1014.5,
2023-02-13,17.8,13.5,23.4,0,,275,16.9,,1014.3,
2023-02-14,16.7,10.6,23.8,0,,280,9.9,,1015.1,
2023-02-15,17.6,11.1,24.7,0,,300,9.1,,1013,
2023-02-16,18.7,12.4,25.6,0,,51,6.1,,1014,
2023-02-17,19.9,13.4,27.8,0,,59,7.4,,1014.9,
2023-02-18,21.3,15.4,28.3,0,,64,5.6,,1014.8,
2023-02-19,21.8,15.4,28.9,0,,293,6.4,,1014,
