date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,13.2,8.5,19.7,0,,254,4.4,,1017.9,
2024-01-02,15.4,10.3,22,0,,35,5.1,,1017.1,
2024-01-03,15.9,11.6,20.9,0.3,,48,6.4,,1016.7,
2024-01-04,15.9,12.4,20.1,4.1,,357,5.3,,1016.6,
2024-01-05,15.8,13,20.1,4.1,,27,5.6,,1017.1,
2024-01-06,17.7,15,20.5,2,,359,5.2,,1018,
2024-01-07,17.9,16,20.5,0,,323,5.5,,1019,
2024-01-08,16.3,12.5,22.8,0,,304,5.1,,1019.1,
2024-01-09,16.2,11,22.4,0,,294,5.8,,1017.9,
2024-01-10,16.5,12.5,22.6,0,,268,9.6,,1016.8,
2024-01-11,13.7,8.7,19.8,0,,270,7,,1018.8,
2024-01-12,12.4,8,19.3,0,,277,7.3,,1018.1,
2024-01-13,12.3,7.6,19.4,0,,268,7.3,,1017.4,
2024-01-14,12.1,7.5,19,0,,283,6.4,,1016.9,
2024-01-15,11.1,7.8,17,0,,277,7.1,,1016.6,
2024-01-16,11.5,6.7,17.2,0,,267,5.1,,1015.6,
2024-01-17,11.3,5.6,18.9,0,,58,5.3,,1015.1,
2024-01-18,11.4,7.5,18.3,0,,296,6.3,,1016.5,
2024-01-19,10.7,5.5,16.9,0,,297,6,,1018.4,
2024-01-20,11,5.4,17.7,0,,278,5.9,,1018.3,
2024-01-21,11.4,6.9,17.8,0,,264,7.8,,1017.9,
2024-01-22,11.6,6.5,17.9,0,,329,5.2,,1019.6,
2024-01-23,11,7.3,18.1,0,,286,5.7,,1018.3,
2024-01-24,10.6,6.7,18,0,,264,7,,1018.5,
2024-01-25,11.6,7.1,19,0,,276,6.6,,1020.5,
2024-01-26,12.8,6.8,20.6,0,,287,5.9,,1021.1,
2024-01-27,13.4,8,21.4,0,,267,7.7,,1020.1,
2024-01-28,14,7.6,21.2,0,,339,5.5,,1019.2,
2024-01-29,14.9,9,22.5,0,,76,6,,1017.7,
2024-01-30,15.9,9.7,22.6,0,,10,5.5,,1016.8,
2024-01-31,16,10.4,23,0,,39,5,,1016.6,
2024-02-01,16.9,11.4,24.2,0,,89,8.5,,1016.3,
2024-02-02,17.8,12.1,26.2,0,,292,8.7,,1016.6,
2024-02-03,17.3,11.5,24,0,,262,13.8,,1016.9,
2024-02-04,17.3,12.2,24.4,0,,312,7.2,,1017.8,
2024-02-05,18.8,15.1,25.9,10.9,,24,6.4,,1017.2,
2024-02-06,19.1,15.8,24.5,3,,311,8.1,,1017.8,
2024-02-07,16.9,12,24.5,0,,262,12.6,,1018.5,
2024-02-08,15.1,11.4,20,0,,261,14.8,,1017.8,
2024-02-09,14.2,8,22.4,0,,280,7.6,,1019.8,
2024-02-10,14.9,7.3,24,0,,300,5.8,,1020.6,
2024-02-11,15.9,7.4,24.4,0,,319,5.8,,1020.1,
2024-02-12,17.9,10.8,25.2,0,,36,6.1,,1019.3,
2024-02-13,17.8,15.4,25.2,7.1,,78,7.7,,1018,
2024-02-14,18.8,16.4,21,6.1,,80,5.9,,1017,
2024-02-15,21,17.7,25.1,0,,306,5,,1018.7,
2024-02-16,18.3,12.2,25,0,,275,6.3,,1018.9,
2024-02-17,21.2,13.9,27.3,0,,268,8.2,,1015.2,
2024-02-18,18.4,11.2,27,0,,197,5.9,,1014,
2024-02-19,19.5,13.5,26.8,0,,98,8.6,,1013.4,
2024-02-20,21.4,14.9,29.8,0,,240,8.7,,1011.1,
2024-02-21,20.9,16.5,27.2,0,,130,7,,1010.1,
2024-02-22,23.3,18.4,29.7,7.9,,272,6.3,,1011.6,
2024-02-23,21.3,13.6,28.4,0,,279,8.3,,1014.7,
2024-02-24,18,13.1,25.4,0,,73,6.2,,1015.9,
2024-02-25,18.7,12.3,27.4,0,,18,7.1,,1016.7,
2024-02-26,18.8,14.1,25.4,0,,8,5.3,,1017.4,
2024-02-27,18,13.6,24,0.2,,279,6,,1016.5,
2024-02-28,19.1,13.2,27.4,0,,263,9.5,,1014.4,
2024-02-29,19.2,13.4,27.2,0,,259,9.3,,1014.6,
2024-03-01,20,12.8,29,0,,246,6.6,,1014.8,
2024-03-02,21,15.6,27.9,0,,65,6.7,,1013.8,
2024-03-03,20.9,16.4,27.2,5.1,,104,10.1,,1012.6,
2024-03-04,21.6,17.1,26.9,0.5,,323,7.7,,1013.6,
2024-03-05,20.7,14,27.4,0,,283,11.3,,1015.4,
2024-03-06,17.9,11.3,26.2,0,,270,9.6,,1014.4,
2024-03-07,18.9,12.2,28.6,0,,271,9.9,,1013.8,
2024-03-08,19.6,12.5,28.8,0,,276,9.7,,1014.3,
2024-03-09,19.7,12.7,27.4,0,,277,9.4,,1014.7,
2024-03-10,20.3,12.3,29.2,0,,280,6.7,,1015.6,
2024-03-11,21.9,15,30.2,0,,349,6.4,,1015.1,
2024-03-12,23.1,15.5,31.4,0,,263,8.7,,1012.7,
2024-03-13,23.9,16.8,31.2,0,,295,7.5,,1011.3,
2024-03-14,24.3,16.6,34,0,,295,7.6,,1011.8,
2024-03-15,23.8,16.8,32.2,0,,284,7,,1012.3,
2024-03-16,24.1,17.2,33,0,,30,6.9,,1014,
2024-03-17,23.3,16.6,31.4,0,,288,6.4,,1013.8,
2024-03-18,23.5,16.9,31.8,0,,298,6.3,,1012.3,
2024-03-19,23.2,17.1,31,0.7,,120,8.2,,1012.3,
2024-03-20,20.3,17.2,25.6,0.8,,79,10.3,,1013.9,
2024-03-21,20.1,15,25.4,0.2,,4,6.6,,1013.6,
2024-03-22,24,15.2,31.4,0,,199,6.1,,1010.6,
2024-03-23,24.9,16.3,34,0,,241,9.6,,1007.3,
2024-03-24,25.3,16.9,34,0,,261,8.6,,1009.5,
2024-03-25,25.5,19,34.8,0,,140,8.2,,1010.5,
2024-03-26,25.5,19,34.4,0,,258,9.4,,1011,
